Inspektions-ID;Videoname;Videozeitpunkt (h:min:sec);Meter ab Rohrbeginn;Schadenskürzel;Schadensbeschreibung;Rohrmaterial;Rohrprofil;Inspekteur-Name;Rohrhöhe (mm);Rohrbreite (mm);Kamera-Schwenkneigung (Grad);Kamera-Drehneigung (Grad);Videopfad;Videohash;Kmd-Pfad;image_path
130356;F41KVR30770611.MPG;00:02:53;8.7;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Espig;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\F41KVR30770611.MPG;895105462;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\MESSDAT\Filderst\adt\F41KVR30770611.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F41KVR30770611.MPG.4250_DAMAGE.jpg
142042;T2 10.54I24072015.MPG;00:02:13;4.44;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisprofil;Dorr/BeGü;500;500;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Ravensburg, Tiefbau\Ravensburg, Oberzell vom 14.07.-29.07.2015\Sichtversion 001\T2 10.54I24072015.MPG;3012198702;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Ravensburg, Tiefbau\Ravensburg, Oberzell vom 14.07.-29.07.2015\Sichtversion 001\MESSDAT\Ravensbu\rg_Ober\T2 10.54I24072015.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\T2%2010.54I24072015.MPG.6375_DAMAGE.jpg
5081;F4R53_45840306.MPG;00:03:39;25.24;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisprofil;Dorr/BeGü;500;500;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Südplanken\A7, Nersingen, Lonetal vom 02.12.-18.12.2019\Sichtversion 001\bin\F4R53_45840306.MPG;948456619;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Südplanken\A7, Nersingen, Lonetal vom 02.12.-18.12.2019\Sichtversion 001\bin\MESSDAT\Suedplan\ken2\F4R53_45840306.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4R53_45840306.MPG.5400_DAMAGE.jpg
51093;F4148X39160605.MPG;00:03:18;6.38;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Eiprofil (H/B=3/2);Dorr/Spaiu;1350;900;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Marktoberdorf\Marktoberdorf, diverse Strassen vom 29.01.-03.04.2018\Sichtversion 001\F4148X39160605.MPG;270967902;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Marktoberdorf\Marktoberdorf, diverse Strassen vom 29.01.-03.04.2018\Sichtversion 001\MESSDAT\MOD_Samm\ler\F4148X39160605.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F4148X39160605.MPG.20300_DAMAGE.jpg
99530;F410HK32720808.MPG;00:03:49;8.7;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisförmig;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Kirchheim u. Teck\2016\Kirchheim, Nabern vom 02.05.-04.05.2016\Sichtversion 001\F410HK32720808.MPG;3364612917;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F410HK32720808.MPG.8475_DAMAGE.jpg
38446;F411VW39530207.MPG;00:01:56;8.46;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Fazio;300;300;-24.0;263.0;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Seehausen\Seehausen vom 04.12.2017-28.05.2018\Sichtversion 001\F411VW39530207.MPG;267671240;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Seehausen\Seehausen vom 04.12.2017-28.05.2018\Sichtversion 001\MESSDAT\Seehause\n2017\F411VW39530207.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F411VW39530207.MPG.2825_DAMAGE.jpg
7194;R04252I.MPG;00:04:05;10.0;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;800;800;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\GTL Lindau\Lindau, diverse Strassen vom 22.08.-06.09.2019\Haltungen\R04252I.MPG;1265353395;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\GTL Lindau\Lindau, diverse Strassen vom 22.08.-06.09.2019\Sichtversion ohne Filme\bin\MESSDAT\Lindau20\19\R04252I.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\R04252I.MPG.7925_DAMAGE.jpg
99530;F410HK32720808.MPG;00:03:49;8.7;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisförmig;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Kirchheim u. Teck\2016\Kirchheim, Nabern vom 02.05.-04.05.2016\Sichtversion 001\F410HK32720808.MPG;3364612917;;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\F410HK32720808.MPG.16225_DAMAGE.jpg
104040;EP_MW_056I.MPG;00:02:51;18.59;BCADA;einfacher Anschluss - Loch gebohrt, offen;Beton;Kreisprofil;Dorr/BeGü;700;700;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\ZV Fuchstalgemeinden\Denklingen, Epfach vom 05.10.2016-17.02.2017\Sichtversion 001\EP_MW_056I.MPG;746643169;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\ZV Fuchstalgemeinden\Denklingen, Epfach vom 05.10.2016-17.02.2017\Sichtversion 001\MESSDAT\Fuchstal\2016\EP_MW_056I.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\EP_MW_056I.MPG.8975_DAMAGE.jpg
26187;20R5950G.MPG;00:04:24;16.59;BCAEA;einfacher Anschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R5950G.MPG;3498005846;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\20R5950G.kmd;\\192.168.200.5\Buero\Projekte\Automatic damage detection\psiori\Datensatz_1_Anschluesse_Risse_Wurzeln\Annotationen_Full\raw\bounding_boxes\known dataset-3\Boxes\Connections\images\annotated_2229_imgs\agg_bbxs_2229_imgs\20R5950G.MPG.10750_DAMAGE.jpg
