Schaden Paar;Anzahl
('BAHC', 'BCAEA');12514
('BCAAA', 'BCAAA');9891
('BCADA', 'BCADA');5107
('BCAGA', 'BCBZD');3387
('BCAZA', 'BCBZD');3166
('BAG', 'BCAEA');2690
('BABBA', 'BABBA');2473
('BBBA', 'BBBA');2127
('BCAEA', 'BCAEA');1874
('BBCC', 'BBCC');1645
('BAJC', 'BAJC');1526
('BDDB', 'BDDB');1401
('BCABA', 'BCABA');1287
('BAG', 'BAHC');1277
('BAJC', 'BDDB');1232
('BAHC', 'BCADA');1222
('BCBZC', 'BCBZC');1179
('BAG', 'BCADA');1171
('BCAAA', 'BCAAB');1142
('BCBZZ', 'BCBZZ');1125
('BAJB', 'BAJB');1089
('BABAA', 'BABAA');1032
('BBCC', 'BCAEA');998
('BAHB', 'BCAEA');955
('BAJB', 'BCAAA');945
('BBBA', 'BCAEA');944
('BBBA', 'BBFA');921
('BBCC', 'BCAAA');898
('BAJC', 'BCAAA');880
('BAHC', 'BBCC');799
('BBAB', 'BBAB');787
('BABBB', 'BBBA');760
('BABBA', 'BCAEA');732
('BABBA', 'BBBA');719
('BAJB', 'BAJC');712
('BBCC', 'BCADA');709
('BBBA', 'BCAAA');702
('BCAAA', 'BCAEA');650
('BAJC', 'BDDA');649
('BABBB', 'BCAEA');638
('BBBA', 'BCADA');637
('BABBC', 'BABBC');637
('BABBA', 'BCAAA');632
('BABBB', 'BCAAA');628
('BAHC', 'BCACA');613
('BAHC', 'BAO');610
('BCAZA', 'BCBZZ');605
('BBBA', 'BBCC');602
('BCAAA', 'BDDB');595
('BAHC', 'BBBA');593
('BCAGA', 'BCAGA');589
('BAFCE', 'BBCC');564
('BABBC', 'BCAAA');558
('BCADA', 'BCAEA');538
('BABBA', 'BABBB');491
('BACB', 'BAO');490
('BABAA', 'BABBA');490
('BCAAB', 'BCAAB');485
('BAFAE', 'BAFCE');485
('BABBA', 'BAHC');470
('BCCAY', 'BCCBY');462
('BBBZ', 'BBBZ');462
('BABAA', 'BCADA');460
('BABBB', 'BABBB');450
('BBBA', 'BBFC');445
('BABBA', 'BCADA');437
('BAAA', 'BAAA');424
('BCBZB', 'BCBZB');421
('BCAAA', 'BCADA');419
('BAJC', 'BBCC');416
('BAJB', 'BBCC');416
('BAJC', 'BDDC');416
('BCAZA', 'BCAZA');411
('BBAC', 'BBAC');407
('BABBB', 'BAHC');391
('BCAAA', 'BCCAY');388
('BAHB', 'BAHC');387
('BAO', 'BAP');375
('BCAAA', 'BCBZZ');367
('BCAAA', 'BCCBY');363
('BABAA', 'BCAAA');360
('BCAEA', 'BCBZZ');354
('BABBB', 'BBCC');353
('BAO', 'BCAEA');353
('BAJC', 'BCADA');343
('BCAGA', 'BCBZZ');335
('BACB', 'BCAEA');332
('BCBZC', 'BCBZD');332
('BCAZA', 'BCBZB');332
('BABBA', 'BAJB');329
('BABAA', 'BBBA');329
('BAFBE', 'BCAAA');324
