Inspektions-ID;Videoname;Videozeitpunkt (h:min:sec);Meter ab Rohrbeginn;Schadenskürzel;Schadensbeschreibung;Rohrmaterial;Rohrprofil;Inspekteur-Name;Rohrhöhe (mm);Rohrbreite (mm);Kamera-Schwenkneigung (Grad);Kamera-Drehneigung (Grad);Videopfad;Videohash;Kmd-Pfad
110272;F4T1S_48540809.MPG;00:02:19;6.94;BCAAA;Abzweig, offen;Glasfaserverstärkter Kunststoff;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\Gemeinde Rettenberg\Rettenberg, Kranzegg vom 25.08.-04.09.2020\Sichtversion 001\bin\F4T1S_48540809.MPG;594685503;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2020\TV-Untersuchung\Gemeinde Rettenberg\Rettenberg, Kranzegg vom 25.08.-04.09.2020\Sichtversion 001\bin\MESSDAT\Kranzegg\2020\F4T1S_48540809.kmd
97422;F4M92_33430101.MPG;00:09:08;6.37;BCAAA;Abzweig, offen;Steinzeug;Kreisprofil;Dorr/Möhring;150;150;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Schulwerk der Diözese Augsburg\Kempten, Auf der Halde 29 vom 11.07.-14.07.2016\Sichtversion DVD 001\F4M92_33430101.MPG;405931745;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Schulwerk der Diözese Augsburg\Kempten, Auf der Halde 29 vom 11.07.-14.07.2016\Sichtversion DVD 001\MESSDAT\KE_Facha\kademie\F4M92_33430101.kmd
130593;F211IQ30700111.MPG;00:05:23;23.34;BCAAA;Abzweig, offen;Beton;Kreisprofil;Dorr/Möhring;300;300;-102.0;244.0;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\F211IQ30700111.MPG;945176291;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\MESSDAT\Filderst\adt\F211IQ30700111.kmd
53013;F4O8H_37970309.MPG;00:02:56;14.13;BCAAA;Abzweig, offen;Steinzeug;Kreisprofil;Dorr/BeGü;200;200;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\VG Buchloe\Jengen, Weicht vom 09.10.-30.10.2017\Originalfilme\F4O8H_37970309.MPG;4215631086;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\VG Buchloe\Jengen, Weicht vom 09.10.-11.10.2017\Sichtversion 001\MESSDAT\Weicht_2\017\F4O8H_37970309.kmd
2042;FHXPF_46790603.MPG;00:10:53;44.06;BCAAA;Abzweig, offen;Polypropylen;Kreisprofil;Espig;150;150;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Ernst Höbel GmbH\Eriskirch, Im Lehen vom 09.03.2020\Sichtversion DVD 001\bin\FHXPF_46790603.MPG;473699602;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Ernst Höbel GmbH\Eriskirch, Im Lehen vom 09.03.2020\Sichtversion DVD 001\bin\MESSDAT\Höbel_Er\iskirch\FHXPF_46790603.kmd
1047;F4LYG_45760301.MPG;00:06:27;19.28;BCBZB;;Steinzeug;Kreisprofil;Dorr/BeGü;250;250;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Aarsleff Rohrsanierung GmbH\Kaufbeuren, Abnahmebefahrung vom 19.11.-02.12.2019\Sichtversion 001\bin\F4LYG_45760301.MPG;1802552917;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Aarsleff Rohrsanierung GmbH\Kaufbeuren, Abnahmebefahrung vom 19.11.-02.12.2019\Sichtversion 001\bin\MESSDAT\KFSanAbn\ahme\F4LYG_45760301.kmd
87107;F4110M2519080B.MPG;00:07:45;34.6;BCBZB;;Steinzeug;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Fa. Boehringer\Befahrungszyklus 1 vom 08.04.-29.04.2014\Sichtversion 001\F4110M2519080B.MPG;4259678267;
50793;F4UP5_4156080A.MPG;00:10:46;36.0;BCBZB;;Beton;Kreisförmig;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Kirchheim u. Teck\2018\Kirchheim, EKVO Nabern 2017 vom 27.09.-23.10.2018\Sichtversion 001\F4UP5_4156080A.MPG;1322337101;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Kirchheim u. Teck\2018\Kirchheim, EKVO Nabern 2017 vom 27.09.-23.10.2018\Sichtversion 001\MESSDAT\Nabern20\18\F4UP5_4156080A.kmd
50820;F418XK41530813.MPG;00:02:42;7.0;BCBZB;;Beton;Kreisförmig;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Kirchheim u. Teck\2018\Kirchheim, EKVO Nabern 2017 vom 27.09.-23.10.2018\Sichtversion 001\F418XK41530813.MPG;1788667186;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Kirchheim u. Teck\2018\Kirchheim, EKVO Nabern 2017 vom 27.09.-23.10.2018\Sichtversion 001\MESSDAT\Nabern20\18\F418XK41530813.kmd
35160;F4ZRX_38410307.MPG;00:04:17;8.08;BCBZB;;Steinzeug;Kreisprofil;Dorr/BeGü;250;250;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Max Bögl Stiftung & Co. KG\Schwangau, Kanalsanierung BA 1 vom 22.11.-04.12.2017\Sichtversion 001\F4ZRX_38410307.MPG;3031347360;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Max Bögl Stiftung & Co. KG\Schwangau, Kanalsanierung BA 1 vom 22.11.-04.12.2017\Sichtversion 001\MESSDAT\Max_Bögl\_2017\F4ZRX_38410307.kmd
