Inspektions-ID,Videoname,Videozeitpunkt (h:min:sec),Meter ab Rohrbeginn,Schadenskürzel,Schadensbeschreibung,Rohrmaterial,Rohrprofil,Inspekteur-Name,Rohrhöhe (mm),Rohrbreite (mm),Kamera-Schwenkneigung (Grad),Kamera-Drehneigung (Grad),Videopfad,Videohash,Kmd-Pfad
35801,F43E5_40290203.MPG,00:02:56,15.41,BABAA,,Beton,Kreisprofil,DORR/FAZIO,400,400,32.0,16.0,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Südplanken GmbH\A96 Memingen-Lindau vom 15.05.-30.05.2018\Sichtversion DVD 001\F43E5_40290203.MPG,4229998696,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Südplanken GmbH\A96 Memingen-Lindau vom 15.05.-30.05.2018\Sichtversion DVD 001\MESSDAT\A96-MM\F43E5_40290203.kmd
3047,F4WJZ_33450501.MPG,00:06:10,13.49,BABAA,,Steinzeug,Kreisprofil,Dorr/Seidl,250,250,,,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Karwendel-Werke GmbH\Buchloe, Karwendelstr. 6-16 vom 09.05.2016-30.11.2019\Sichtversion 001\bin\F4WJZ_33450501.MPG",2494463187,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Karwendel-Werke GmbH\Buchloe, Karwendelstr. 6-16 vom 09.05.2016-30.11.2019\Sichtversion 001\bin\MESSDAT\G_Karwen\del\F4WJZ_33450501.kmd"
82840,60R3020G.mpg,00:17:31,45.15,BABAA,,Steinzeug,Kreisprofil,G. Rottmair,250,250,,,\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Bernried vom 19.12.2016-02.06.2017\Bernried RW-Kanal vom 19.12.2016-03.05.2017\Sichtversion 001\60R3020G.mpg,3671499833,
78032,173E1I18072019.MPG,00:03:01,10.89,BABAA,,Beton,Kreisprofil,Gurschler,800,800,,,"\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadt Ravensburg\Ravensburg, EKVO Eschach Süd vom 14.05.-30.07.2019\digitale Filme\173E1I18072019.MPG",1590987674,"\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadt Ravensburg\Ravensburg, EKVO Eschach Süd vom 14.05.-30.07.2019\Sichtversion ohne Filme\bin\MESSDAT\Ravensbu\rg2019\173E1I18072019.kmd"
15447,F4JTP_43220802.MPG,00:06:49,22.82,BABAA,,Steinzeug,Kreisprofil,Dorr/Alker,400,400,,,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\KKU EÜV 2018\Kempten, EÜV 2018 vom 11.03.-02.05.2019\Sichtversion DVD 001\F4JTP_43220802.MPG",2755327288,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\KKU EÜV 2018\Kempten, EÜV 2018 vom 11.03.-02.05.2019\Sichtversion DVD 001\MESSDAT\KKUEÜV20\18\F4JTP_43220802.kmd"
51489,AW 18.01G06032018.MPG,00:01:47,3.82,BABAA,,Stahlfaserbeton,Kreisprofil,Gurschler,1000,1000,,,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Ravensburg\Ravensburg, Weststadt vom 05.03.-13.03.2018\digitale Filme\AW 18.01G06032018.MPG",4125361870,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Ravensburg\Ravensburg, Weststadt vom 05.03.-13.03.2018\Sichtversion ohne Filme\MESSDAT\RV-Wests\tadt\AW 18.01G06032018.kmd"
131338,F4QFO_31960102.MPG,00:02:33,5.9,BABAA,,Stahlbeton,Kreisförmig,Dorr/Möhring,600,600,38.0,356.0,"\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Kirchheim u. Teck\2016\Kirchheim u. Teck, Naberner Strasse vom 16.02.-20.02.2016\Sichtversion 001\F4QFO_31960102.MPG",3495464395,"\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Kirchheim u. Teck\2016\Kirchheim u. Teck, Naberner Strasse vom 16.02.-20.02.2016\Sichtversion 001\MESSDAT\Kirchhei\mVII016\F4QFO_31960102.kmd"
22722,H_55250050..mpg,00:07:40,34.5,BABAA,,Steinzeug,Kreisprofil,M.Mangold,400,400,,,\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Stadt Tübingen\Tübingen EKVO2018 vom\Tübingen 2018~2F1\H_55250050..mpg,3714782477,
130791,F210A93063030E.MPG,00:16:20,35.19,BABAA,,Beton,Kreisprofil,Dorr/BeGü,250,250,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\F210A93063030E.MPG,2797023303,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\MESSDAT\Filderst\adt\F210A93063030E.kmd
95965,22375_22375_22367_D_09122016_075936.mpg,00:01:58,8.94,BABAA,,Steinzeug,Kreisprofil,G. Rottmair,250,250,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\KKU Kempten\EÜV Filmung vom 21.11.-20.12.2016\Sichtversion 001\22375_22375_22367_D_09122016_075936.mpg,4042721677,
