Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,5200,5695,5200,193,224,1
,,,5200,239,205,1
,,,5200,187,234,1
,,,5200,182,308,1
,,,5200,246,216,1
,,,5200,209,284,1
,,,5200,216,315,1
,,,5200,232,239,1
,,,5200,255,203,1
,,,5200,185,250,1
,,,5200,158,327,1
,,,5200,158,315,1
,,,5200,246,478,0
,,,5200,433,332,0
,,,5200,554,180,0
,,,5200,543,471,0
,,,5200,390,180,0
,,,5200,572,382,0
,,,5200,454,506,0
,,,5200,352,295,0
,,,5200,279,532,0
,,,5200,165,416,0
,,,5200,395,57,0
,,,5200,559,138,0
,,,5215,183,402,1
,,,5215,181,231,1
,,,5215,168,397,1
,,,5215,214,189,1
,,,5215,156,304,1
,,,5215,222,240,1
,,,5215,152,352,1
,,,5215,164,274,1
,,,5215,113,299,1
,,,5215,107,321,1
,,,5215,219,234,1
,,,5215,233,171,1
,,,5215,423,487,0
,,,5215,385,450,0
,,,5215,492,521,0
,,,5215,363,470,0
,,,5215,590,222,0
,,,5215,214,493,0
,,,5215,149,416,0
,,,5215,227,299,0
,,,5215,293,291,0
,,,5215,630,563,0
,,,5215,226,102,0
,,,5215,421,392,0
,,,5620,571,397,1
,,,5620,673,440,1
,,,5620,689,270,1
,,,5620,647,411,1
,,,5620,610,233,1
,,,5620,685,424,1
,,,5620,657,375,1
,,,5620,652,277,1
,,,5620,705,467,1
,,,5620,708,309,1
,,,5620,557,391,1
,,,5620,576,430,1
,,,5620,402,138,0
,,,5620,591,81,0
,,,5620,134,81,0
,,,5620,105,215,0
,,,5620,70,405,0
,,,5620,364,492,0
,,,5620,131,255,0
,,,5620,414,127,0
,,,5620,148,31,0
,,,5620,161,300,0
,,,5620,118,61,0
,,,5620,15,191,0
,,,5680,261,380,1
,,,5680,351,304,1
,,,5680,263,236,1
,,,5680,269,439,1
,,,5680,284,294,1
,,,5680,228,376,1
,,,5680,278,430,1
,,,5680,346,249,1
,,,5680,308,367,1
,,,5680,314,399,1
,,,5680,311,441,1
,,,5680,340,291,1
,,,5680,78,260,0
,,,5680,419,231,0
,,,5680,39,318,0
,,,5680,192,314,0
,,,5680,249,196,0
,,,5680,143,109,0
,,,5680,489,52,0
,,,5680,181,25,0
,,,5680,502,125,0
,,,5680,463,18,0
,,,5680,135,340,0
,,,5680,414,67,0
