Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3374,3749,3524,277,35,1
,,,3524,275,42,1
,,,3524,276,49,1
,,,3524,283,35,1
,,,3524,288,42,1
,,,3524,275,38,1
,,,3524,280,38,1
,,,3524,264,55,1
,,,3524,293,38,1
,,,3524,304,32,1
,,,3524,276,40,1
,,,3524,267,42,1
,,,3524,208,490,0
,,,3524,29,225,0
,,,3524,222,332,0
,,,3524,44,265,0
,,,3524,584,408,0
,,,3524,764,371,0
,,,3524,374,78,0
,,,3524,238,209,0
,,,3524,131,456,0
,,,3524,556,203,0
,,,3524,761,48,0
,,,3524,152,474,0
