Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BABAA,20425,21150,20450,155,290,1
,,,20450,592,306,1
,,,20450,323,298,1
,,,20450,344,245,0
,,,20450,131,199,0
,,,20450,13,203,0
,,,20450,78,448,0
,,,20450,412,460,0
,,,20450,560,445,0
,,,20450,618,431,0
,,,20450,278,380,0
,,,20450,137,363,0
,,,20450,381,157,0
,,,20450,541,188,0
,,,20575,296,295,1
,,,20575,75,276,1
,,,20575,567,302,1
,,,20575,594,228,0
,,,20575,566,383,0
,,,20575,352,374,0
,,,20575,479,114,0
,,,20600,321,295,1
,,,20600,420,185,0
,,,20600,349,394,0
,,,20600,66,279,1
