Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,10150,10645,10375,373,170,1
,,,10375,484,227,1
,,,10375,261,216,1
,,,10375,257,111,1
,,,10375,198,417,1
,,,10375,257,343,1
,,,10375,486,325,1
,,,10375,148,492,1
,,,10375,667,210,1
,,,10375,345,166,1
,,,10375,646,359,1
,,,10375,636,270,1
,,,10375,92,70,0
,,,10375,663,234,0
,,,10375,571,564,0
,,,10375,103,14,0
,,,10375,349,571,0
,,,10375,104,31,0
,,,10375,719,495,0
,,,10375,714,212,0
,,,10375,619,567,0
,,,10375,65,5,0
,,,10375,698,244,0
,,,10375,173,11,0
,,,10420,156,279,1
,,,10420,359,195,1
,,,10420,490,36,1
,,,10420,448,232,1
,,,10420,347,255,1
,,,10420,574,225,1
,,,10420,401,139,1
,,,10420,364,108,1
,,,10420,549,373,1
,,,10420,299,51,1
,,,10420,462,72,1
,,,10420,298,319,1
,,,10420,9,204,0
,,,10420,39,496,0
,,,10420,40,458,0
,,,10420,720,137,0
,,,10420,375,1,0
,,,10420,459,8,0
,,,10420,20,110,0
,,,10420,40,94,0
,,,10420,652,542,0
,,,10420,45,158,0
,,,10420,708,88,0
,,,10420,642,434,0
,,,10555,452,228,1
,,,10555,489,246,1
,,,10555,422,174,1
,,,10555,473,217,1
,,,10555,465,223,1
,,,10555,462,201,1
,,,10555,442,198,1
,,,10555,430,172,1
,,,10555,472,249,1
,,,10555,464,201,1
,,,10555,477,238,1
,,,10555,488,225,1
,,,10555,409,564,0
,,,10555,88,206,0
,,,10555,88,180,0
,,,10555,597,239,0
,,,10555,498,266,0
,,,10555,646,106,0
,,,10555,327,37,0
,,,10555,661,407,0
,,,10555,508,535,0
,,,10555,104,398,0
,,,10555,351,69,0
,,,10555,627,395,0
,,,10600,516,184,1
,,,10600,565,194,1
,,,10600,560,265,1
,,,10600,493,147,1
,,,10600,424,129,1
,,,10600,534,167,1
,,,10600,555,149,1
,,,10600,550,245,1
,,,10600,560,174,1
,,,10600,518,208,1
,,,10600,546,223,1
,,,10600,501,191,1
,,,10600,346,171,0
,,,10600,644,384,0
,,,10600,700,98,0
,,,10600,681,574,0
,,,10600,206,317,0
,,,10600,411,128,0
,,,10600,290,28,0
,,,10600,424,358,0
,,,10600,472,443,0
,,,10600,440,268,0
,,,10600,571,279,0
,,,10600,131,118,0
