Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3775,4270,4060,195,22,1
,,,4060,295,83,1
,,,4060,193,9,1
,,,4060,590,32,1
,,,4060,319,82,1
,,,4060,207,38,1
,,,4060,207,33,1
,,,4060,252,55,1
,,,4060,350,90,1
,,,4060,223,50,1
,,,4060,605,12,1
,,,4060,435,92,1
,,,4060,113,243,0
,,,4060,352,214,0
,,,4060,139,448,0
,,,4060,157,236,0
,,,4060,475,192,0
,,,4060,195,460,0
,,,4060,162,218,0
,,,4060,413,209,0
,,,4060,528,572,0
,,,4060,186,211,0
,,,4060,56,232,0
,,,4060,4,553,0
,,,4180,387,437,1
,,,4180,350,383,1
,,,4180,400,417,1
,,,4180,471,154,1
,,,4180,354,216,1
,,,4180,375,432,1
,,,4180,542,468,1
,,,4180,594,291,1
,,,4180,375,427,1
,,,4180,473,197,1
,,,4180,377,315,1
,,,4180,306,413,1
,,,4180,761,456,0
,,,4180,172,8,0
,,,4180,762,293,0
,,,4180,178,6,0
,,,4180,693,414,0
,,,4180,22,294,0
,,,4180,679,243,0
,,,4180,724,457,0
,,,4180,208,356,0
,,,4180,100,174,0
,,,4180,157,356,0
,,,4180,69,251,0
,,,4195,425,175,1
,,,4195,437,250,1
,,,4195,516,317,1
,,,4195,547,430,1
,,,4195,376,391,1
,,,4195,414,493,1
,,,4195,339,430,1
,,,4195,304,377,1
,,,4195,434,519,1
,,,4195,376,391,1
,,,4195,367,467,1
,,,4195,560,221,1
,,,4195,263,485,0
,,,4195,251,191,0
,,,4195,558,75,0
,,,4195,3,14,0
,,,4195,149,487,0
,,,4195,310,561,0
,,,4195,211,135,0
,,,4195,20,56,0
,,,4195,234,132,0
,,,4195,54,518,0
,,,4195,628,265,0
,,,4195,250,36,0
,,,4210,397,151,1
,,,4210,446,160,1
,,,4210,409,528,1
,,,4210,402,218,1
,,,4210,430,149,1
,,,4210,321,395,1
,,,4210,486,167,1
,,,4210,326,353,1
,,,4210,416,534,1
,,,4210,568,230,1
,,,4210,539,440,1
,,,4210,407,305,1
,,,4210,46,272,0
,,,4210,110,392,0
,,,4210,302,558,0
,,,4210,579,538,0
,,,4210,733,428,0
,,,4210,135,45,0
,,,4210,168,301,0
,,,4210,133,5,0
,,,4210,378,77,0
,,,4210,601,54,0
,,,4210,716,329,0
,,,4210,728,549,0
,,,4270,266,405,1
,,,4270,608,355,1
,,,4270,492,373,1
,,,4270,591,370,1
,,,4270,485,426,1
,,,4270,293,417,1
,,,4270,390,274,1
,,,4270,441,235,1
,,,4270,303,255,1
,,,4270,548,445,1
,,,4270,462,125,1
,,,4270,547,411,1
,,,4270,766,179,0
,,,4270,20,26,0
,,,4270,156,215,0
,,,4270,639,287,0
,,,4270,69,198,0
,,,4270,714,276,0
,,,4270,82,77,0
,,,4270,560,571,0
,,,4270,87,372,0
,,,4270,83,539,0
,,,4270,642,408,0
,,,4270,748,77,0
