Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,5600,6095,5840,488,318,1
,,,5840,302,71,1
,,,5840,323,252,1
,,,5840,344,38,1
,,,5840,380,176,1
,,,5840,373,306,1
,,,5840,363,225,1
,,,5840,628,18,1
,,,5840,392,132,1
,,,5840,333,228,1
,,,5840,588,36,1
,,,5840,484,247,1
,,,5840,281,551,0
,,,5840,137,32,0
,,,5840,725,430,0
,,,5840,115,559,0
,,,5840,525,542,0
,,,5840,219,110,0
,,,5840,352,512,0
,,,5840,122,338,0
,,,5840,12,132,0
,,,5840,692,565,0
,,,5840,460,404,0
,,,5840,191,515,0
,,,5855,323,92,1
,,,5855,531,65,1
,,,5855,386,139,1
,,,5855,266,27,1
,,,5855,508,60,1
,,,5855,449,299,1
,,,5855,334,277,1
,,,5855,456,125,1
,,,5855,430,86,1
,,,5855,624,4,1
,,,5855,501,218,1
,,,5855,466,237,1
,,,5855,354,393,0
,,,5855,65,543,0
,,,5855,106,504,0
,,,5855,34,506,0
,,,5855,128,313,0
,,,5855,541,510,0
,,,5855,704,427,0
,,,5855,64,428,0
,,,5855,206,447,0
,,,5855,708,100,0
,,,5855,268,449,0
,,,5855,220,237,0
,,,5870,480,292,1
,,,5870,349,144,1
,,,5870,630,17,1
,,,5870,677,82,1
,,,5870,313,230,1
,,,5870,550,90,1
,,,5870,546,41,1
,,,5870,623,238,1
,,,5870,549,152,1
,,,5870,604,13,1
,,,5870,670,97,1
,,,5870,337,37,1
,,,5870,322,514,0
,,,5870,90,226,0
,,,5870,266,316,0
,,,5870,341,350,0
,,,5870,196,20,0
,,,5870,101,235,0
,,,5870,1,466,0
,,,5870,185,575,0
,,,5870,282,532,0
,,,5870,425,499,0
,,,5870,38,352,0
,,,5870,37,395,0
,,,5885,351,164,1
,,,5885,313,248,1
,,,5885,437,238,1
,,,5885,500,255,1
,,,5885,447,219,1
,,,5885,429,312,1
,,,5885,492,240,1
,,,5885,475,80,1
,,,5885,354,217,1
,,,5885,560,277,1
,,,5885,286,204,1
,,,5885,356,106,1
,,,5885,219,102,0
,,,5885,736,401,0
,,,5885,309,544,0
,,,5885,438,495,0
,,,5885,256,387,0
,,,5885,410,375,0
,,,5885,445,520,0
,,,5885,744,257,0
,,,5885,207,421,0
,,,5885,367,511,0
,,,5885,442,466,0
,,,5885,395,390,0
,,,5900,410,170,1
,,,5900,410,228,1
,,,5900,541,250,1
,,,5900,562,29,1
,,,5900,464,250,1
,,,5900,360,155,1
,,,5900,588,270,1
,,,5900,330,13,1
,,,5900,464,200,1
,,,5900,378,267,1
,,,5900,572,87,1
,,,5900,441,268,1
,,,5900,191,48,0
,,,5900,274,270,0
,,,5900,60,3,0
,,,5900,111,27,0
,,,5900,571,328,0
,,,5900,468,370,0
,,,5900,244,189,0
,,,5900,234,154,0
,,,5900,360,511,0
,,,5900,368,445,0
,,,5900,188,129,0
,,,5900,3,61,0
,,,5960,160,297,1
,,,5960,58,326,1
,,,5960,48,381,1
,,,5960,27,399,1
,,,5960,4,207,1
,,,5960,73,158,1
,,,5960,139,136,1
,,,5960,34,258,1
,,,5960,52,38,1
,,,5960,103,44,1
,,,5960,15,413,1
,,,5960,18,351,1
,,,5960,735,208,0
,,,5960,390,228,0
,,,5960,499,4,0
,,,5960,756,212,0
,,,5960,619,349,0
,,,5960,462,224,0
,,,5960,471,554,0
,,,5960,401,47,0
,,,5960,296,499,0
,,,5960,514,9,0
,,,5960,313,276,0
,,,5960,763,255,0
