Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,8125,8620,8155,475,246,1
,,,8155,456,307,1
,,,8155,472,279,1
,,,8155,479,286,1
,,,8155,463,331,1
,,,8155,480,269,1
,,,8155,485,303,1
,,,8155,465,325,1
,,,8155,484,310,1
,,,8155,448,337,1
,,,8155,453,252,1
,,,8155,447,224,1
,,,8155,571,264,0
,,,8155,378,302,0
,,,8155,84,135,0
,,,8155,606,55,0
,,,8155,675,45,0
,,,8155,270,93,0
,,,8155,671,388,0
,,,8155,676,493,0
,,,8155,441,545,0
,,,8155,483,65,0
,,,8155,372,454,0
,,,8155,640,230,0
,,,8215,486,364,1
,,,8215,472,230,1
,,,8215,500,300,1
,,,8215,518,283,1
,,,8215,506,237,1
,,,8215,474,249,1
,,,8215,512,303,1
,,,8215,521,258,1
,,,8215,501,243,1
,,,8215,514,332,1
,,,8215,490,312,1
,,,8215,477,231,1
,,,8215,668,130,0
,,,8215,13,344,0
,,,8215,702,293,0
,,,8215,561,384,0
,,,8215,435,97,0
,,,8215,215,222,0
,,,8215,268,484,0
,,,8215,471,21,0
,,,8215,225,506,0
,,,8215,231,202,0
,,,8215,373,268,0
,,,8215,613,184,0
,,,8290,552,347,1
,,,8290,542,399,1
,,,8290,540,329,1
,,,8290,562,177,1
,,,8290,582,280,1
,,,8290,595,321,1
,,,8290,606,235,1
,,,8290,523,216,1
,,,8290,604,278,1
,,,8290,538,177,1
,,,8290,602,344,1
,,,8290,572,335,1
,,,8290,405,393,0
,,,8290,642,350,0
,,,8290,194,538,0
,,,8290,433,456,0
,,,8290,254,265,0
,,,8290,76,423,0
,,,8290,604,15,0
,,,8290,475,211,0
,,,8290,292,358,0
,,,8290,537,125,0
,,,8290,195,507,0
,,,8290,382,562,0
,,,8305,591,193,1
,,,8305,555,246,1
,,,8305,592,285,1
,,,8305,593,225,1
,,,8305,552,341,1
,,,8305,545,197,1
,,,8305,614,364,1
,,,8305,621,216,1
,,,8305,557,383,1
,,,8305,614,195,1
,,,8305,606,375,1
,,,8305,547,253,1
,,,8305,152,110,0
,,,8305,503,405,0
,,,8305,83,485,0
,,,8305,236,505,0
,,,8305,105,176,0
,,,8305,35,300,0
,,,8305,355,551,0
,,,8305,377,421,0
,,,8305,393,540,0
,,,8305,543,550,0
,,,8305,297,519,0
,,,8305,232,490,0
,,,8590,552,300,1
,,,8590,363,144,1
,,,8590,419,215,1
,,,8590,355,483,1
,,,8590,512,438,1
,,,8590,489,252,1
,,,8590,238,440,1
,,,8590,419,283,1
,,,8590,207,323,1
,,,8590,379,198,1
,,,8590,280,560,1
,,,8590,631,261,1
,,,8590,696,65,0
,,,8590,19,104,0
,,,8590,588,460,0
,,,8590,692,32,0
,,,8590,23,17,0
,,,8590,566,17,0
,,,8590,614,553,0
,,,8590,508,26,0
,,,8590,376,91,0
,,,8590,575,532,0
,,,8590,218,81,0
,,,8590,5,503,0
