Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,5125,5620,5590,278,157,1
,,,5590,335,214,1
,,,5590,397,87,1
,,,5590,382,91,1
,,,5590,235,264,1
,,,5590,300,297,1
,,,5590,462,64,1
,,,5590,241,240,1
,,,5590,426,90,1
,,,5590,276,246,1
,,,5590,385,140,1
,,,5590,321,113,1
,,,5590,426,371,0
,,,5590,554,378,0
,,,5590,73,326,0
,,,5590,189,285,0
,,,5590,632,407,0
,,,5590,540,200,0
,,,5590,15,405,0
,,,5590,381,418,0
,,,5590,46,265,0
,,,5590,246,471,0
,,,5590,203,507,0
,,,5590,43,86,0
