Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BABAA,25650,26145,25905,292,289,0
,,,25905,363,275,0
,,,25905,392,320,0
,,,25905,293,160,1
,,,25905,406,185,0
,,,25905,357,86,0
,,,25920,343,264,0
,,,25920,354,248,0
,,,25920,307,264,0
,,,25920,315,290,0
,,,25920,363,299,0
,,,25920,419,276,0
,,,25920,391,262,0
,,,25920,347,254,0
,,,25920,321,259,0
,,,25920,299,112,1
,,,25935,295,287,0
,,,25935,321,270,0
,,,25935,423,295,0
,,,25935,301,104,1
,,,25935,496,174,1
,,,25935,402,109,1
,,,25950,330,245,0
,,,25950,355,253,0
,,,25950,320,250,0
,,,25965,320,272,0
,,,25965,323,253,0
,,,25965,330,250,0
,,,25965,374,251,0
,,,25980,324,267,0
,,,25980,343,250,0
,,,25980,381,248,0
,,,25980,412,264,0
,,,26085,273,138,1
,,,26085,254,103,1
,,,26085,259,80,1
,,,26085,474,179,1
,,,26085,631,326,1
,,,26085,442,425,0
,,,26085,601,496,0
,,,26085,589,179,0
,,,26085,363,145,0
,,,26085,217,256,0
