Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,7425,7920,7470,473,305,1
,,,7470,469,255,1
,,,7470,472,289,1
,,,7470,478,245,1
,,,7470,480,259,1
,,,7470,494,300,1
,,,7470,476,283,1
,,,7470,462,239,1
,,,7470,489,282,1
,,,7470,454,223,1
,,,7470,478,298,1
,,,7470,499,278,1
,,,7470,132,391,0
,,,7470,417,204,0
,,,7470,682,37,0
,,,7470,514,389,0
,,,7470,146,84,0
,,,7470,262,536,0
,,,7470,665,304,0
,,,7470,454,539,0
,,,7470,355,434,0
,,,7470,264,531,0
,,,7470,529,425,0
,,,7470,48,96,0
,,,7530,517,316,1
,,,7530,512,235,1
,,,7530,498,246,1
,,,7530,536,256,1
,,,7530,510,339,1
,,,7530,512,250,1
,,,7530,513,276,1
,,,7530,500,232,1
,,,7530,517,236,1
,,,7530,507,225,1
,,,7530,511,221,1
,,,7530,510,339,1
,,,7530,293,472,0
,,,7530,570,345,0
,,,7530,47,203,0
,,,7530,422,516,0
,,,7530,18,388,0
,,,7530,527,10,0
,,,7530,650,219,0
,,,7530,506,47,0
,,,7530,247,260,0
,,,7530,549,290,0
,,,7530,180,271,0
,,,7530,637,310,0
,,,7605,576,193,1
,,,7605,539,194,1
,,,7605,599,249,1
,,,7605,563,313,1
,,,7605,614,241,1
,,,7605,612,212,1
,,,7605,567,358,1
,,,7605,575,368,1
,,,7605,557,371,1
,,,7605,521,149,1
,,,7605,606,236,1
,,,7605,565,149,1
,,,7605,701,137,0
,,,7605,174,309,0
,,,7605,201,64,0
,,,7605,320,333,0
,,,7605,48,258,0
,,,7605,615,454,0
,,,7605,3,360,0
,,,7605,258,222,0
,,,7605,121,526,0
,,,7605,334,77,0
,,,7605,91,133,0
,,,7605,445,552,0
,,,7620,548,154,1
,,,7620,565,215,1
,,,7620,625,171,1
,,,7620,624,257,1
,,,7620,550,182,1
,,,7620,578,127,1
,,,7620,586,175,1
,,,7620,678,240,1
,,,7620,590,149,1
,,,7620,637,202,1
,,,7620,572,344,1
,,,7620,663,226,1
,,,7620,305,32,0
,,,7620,573,521,0
,,,7620,55,78,0
,,,7620,294,299,0
,,,7620,588,518,0
,,,7620,476,369,0
,,,7620,488,269,0
,,,7620,383,448,0
,,,7620,147,328,0
,,,7620,676,41,0
,,,7620,299,503,0
,,,7620,39,287,0
,,,7635,596,139,1
,,,7635,600,397,1
,,,7635,669,196,1
,,,7635,683,136,1
,,,7635,594,364,1
,,,7635,627,307,1
,,,7635,685,230,1
,,,7635,653,178,1
,,,7635,707,162,1
,,,7635,632,361,1
,,,7635,732,290,1
,,,7635,629,236,1
,,,7635,382,575,0
,,,7635,339,403,0
,,,7635,41,537,0
,,,7635,101,65,0
,,,7635,218,145,0
,,,7635,524,45,0
,,,7635,500,315,0
,,,7635,446,551,0
,,,7635,418,140,0
,,,7635,361,521,0
,,,7635,169,449,0
,,,7635,580,531,0
,,,7665,749,147,1
,,,7665,764,137,1
,,,7665,693,225,1
,,,7665,736,129,1
,,,7665,658,342,1
,,,7665,688,232,1
,,,7665,757,409,1
,,,7665,702,414,1
,,,7665,746,259,1
,,,7665,721,162,1
,,,7665,631,217,1
,,,7665,676,125,1
,,,7665,292,460,0
,,,7665,450,125,0
,,,7665,209,390,0
,,,7665,188,210,0
,,,7665,121,47,0
,,,7665,302,83,0
,,,7665,704,483,0
,,,7665,346,4,0
,,,7665,353,8,0
,,,7665,241,243,0
,,,7665,501,544,0
,,,7665,741,551,0
