Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,6475,6970,6895,519,279,1
,,,6895,543,294,1
,,,6895,527,212,1
,,,6895,500,79,1
,,,6895,511,237,1
,,,6895,526,124,1
,,,6895,540,216,1
,,,6895,527,166,1
,,,6895,522,160,1
,,,6895,568,242,1
,,,6895,495,164,1
,,,6895,550,147,1
,,,6895,232,222,0
,,,6895,269,44,0
,,,6895,285,476,0
,,,6895,636,377,0
,,,6895,674,537,0
,,,6895,696,385,0
,,,6895,266,207,0
,,,6895,237,50,0
,,,6895,347,543,0
,,,6895,64,133,0
,,,6895,700,35,0
,,,6895,490,66,0
