Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,6025,6520,6205,518,43,1
,,,6205,626,72,1
,,,6205,575,301,1
,,,6205,655,124,1
,,,6205,561,290,1
,,,6205,541,150,1
,,,6205,624,250,1
,,,6205,566,155,1
,,,6205,609,326,1
,,,6205,658,206,1
,,,6205,572,130,1
,,,6205,638,287,1
,,,6205,509,230,0
,,,6205,52,181,0
,,,6205,425,297,0
,,,6205,437,535,0
,,,6205,348,154,0
,,,6205,625,430,0
,,,6205,375,527,0
,,,6205,196,431,0
,,,6205,75,188,0
,,,6205,518,371,0
,,,6205,116,382,0
,,,6205,481,436,0
,,,6220,564,221,1
,,,6220,605,262,1
,,,6220,538,108,1
,,,6220,561,240,1
,,,6220,588,127,1
,,,6220,552,282,1
,,,6220,480,68,1
,,,6220,593,136,1
,,,6220,606,224,1
,,,6220,526,283,1
,,,6220,584,210,1
,,,6220,617,204,1
,,,6220,175,99,0
,,,6220,371,276,0
,,,6220,259,173,0
,,,6220,21,204,0
,,,6220,115,297,0
,,,6220,8,26,0
,,,6220,650,156,0
,,,6220,316,425,0
,,,6220,359,493,0
,,,6220,702,406,0
,,,6220,378,172,0
,,,6220,639,506,0
,,,6310,523,233,1
,,,6310,543,148,1
,,,6310,598,255,1
,,,6310,602,200,1
,,,6310,541,240,1
,,,6310,574,305,1
,,,6310,585,164,1
,,,6310,572,140,1
,,,6310,577,301,1
,,,6310,517,136,1
,,,6310,577,144,1
,,,6310,570,243,1
,,,6310,227,242,0
,,,6310,449,292,0
,,,6310,503,235,0
,,,6310,480,268,0
,,,6310,229,530,0
,,,6310,719,409,0
,,,6310,295,411,0
,,,6310,428,184,0
,,,6310,27,551,0
,,,6310,692,341,0
,,,6310,410,275,0
,,,6310,283,325,0
,,,6340,539,271,1
,,,6340,608,235,1
,,,6340,577,234,1
,,,6340,549,236,1
,,,6340,550,242,1
,,,6340,522,122,1
,,,6340,614,212,1
,,,6340,551,133,1
,,,6340,618,199,1
,,,6340,573,281,1
,,,6340,587,145,1
,,,6340,562,239,1
,,,6340,674,132,0
,,,6340,713,333,0
,,,6340,149,8,0
,,,6340,87,421,0
,,,6340,597,411,0
,,,6340,636,263,0
,,,6340,115,22,0
,,,6340,389,295,0
,,,6340,378,399,0
,,,6340,489,156,0
,,,6340,301,388,0
,,,6340,122,314,0
,,,6415,531,89,1
,,,6415,476,102,1
,,,6415,610,231,1
,,,6415,580,233,1
,,,6415,606,227,1
,,,6415,510,94,1
,,,6415,576,312,1
,,,6415,455,85,1
,,,6415,592,223,1
,,,6415,550,337,1
,,,6415,605,194,1
,,,6415,587,255,1
,,,6415,667,48,0
,,,6415,509,474,0
,,,6415,513,537,0
,,,6415,96,207,0
,,,6415,326,69,0
,,,6415,181,323,0
,,,6415,363,79,0
,,,6415,685,520,0
,,,6415,192,541,0
,,,6415,675,142,0
,,,6415,431,415,0
,,,6415,464,166,0
,,,6460,543,153,1
,,,6460,609,205,1
,,,6460,558,228,1
,,,6460,481,86,1
,,,6460,504,65,1
,,,6460,581,255,1
,,,6460,610,162,1
,,,6460,503,77,1
,,,6460,562,285,1
,,,6460,544,186,1
,,,6460,490,90,1
,,,6460,550,274,1
,,,6460,392,244,0
,,,6460,172,394,0
,,,6460,31,436,0
,,,6460,407,80,0
,,,6460,200,437,0
,,,6460,380,452,0
,,,6460,429,428,0
,,,6460,448,439,0
,,,6460,119,462,0
,,,6460,19,356,0
,,,6460,128,310,0
,,,6460,229,448,0
