Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2550,3045,2655,482,204,1
,,,2655,447,173,1
,,,2655,447,171,1
,,,2655,478,241,1
,,,2655,484,214,1
,,,2655,457,214,1
,,,2655,437,171,1
,,,2655,484,224,1
,,,2655,451,204,1
,,,2655,473,192,1
,,,2655,480,204,1
,,,2655,454,209,1
,,,2655,651,307,0
,,,2655,713,425,0
,,,2655,690,397,0
,,,2655,229,461,0
,,,2655,737,199,0
,,,2655,93,302,0
,,,2655,20,478,0
,,,2655,20,191,0
,,,2655,261,254,0
,,,2655,198,3,0
,,,2655,742,114,0
,,,2655,146,4,0
,,,2670,527,169,1
,,,2670,587,234,1
,,,2670,502,172,1
,,,2670,570,234,1
,,,2670,510,170,1
,,,2670,522,158,1
,,,2670,565,187,1
,,,2670,538,197,1
,,,2670,496,168,1
,,,2670,581,241,1
,,,2670,574,244,1
,,,2670,565,229,1
,,,2670,346,380,0
,,,2670,162,371,0
,,,2670,669,388,0
,,,2670,589,17,0
,,,2670,213,567,0
,,,2670,606,114,0
,,,2670,47,267,0
,,,2670,675,351,0
,,,2670,558,56,0
,,,2670,452,341,0
,,,2670,3,284,0
,,,2670,206,165,0
,,,2685,511,122,1
,,,2685,530,135,1
,,,2685,596,199,1
,,,2685,599,177,1
,,,2685,563,187,1
,,,2685,552,173,1
,,,2685,600,238,1
,,,2685,535,132,1
,,,2685,605,205,1
,,,2685,552,170,1
,,,2685,555,180,1
,,,2685,572,146,1
,,,2685,461,312,0
,,,2685,564,104,0
,,,2685,152,196,0
,,,2685,742,507,0
,,,2685,513,472,0
,,,2685,551,435,0
,,,2685,116,105,0
,,,2685,445,401,0
,,,2685,508,445,0
,,,2685,685,530,0
,,,2685,385,426,0
,,,2685,415,393,0
,,,2700,490,160,1
,,,2700,514,207,1
,,,2700,541,233,1
,,,2700,553,175,1
,,,2700,522,148,1
,,,2700,454,129,1
,,,2700,538,207,1
,,,2700,540,179,1
,,,2700,454,146,1
,,,2700,476,125,1
,,,2700,555,184,1
,,,2700,469,146,1
,,,2700,378,286,0
,,,2700,270,560,0
,,,2700,359,3,0
,,,2700,767,516,0
,,,2700,415,31,0
,,,2700,164,94,0
,,,2700,573,417,0
,,,2700,554,367,0
,,,2700,407,329,0
,,,2700,270,379,0
,,,2700,645,348,0
,,,2700,244,368,0
,,,2760,259,201,1
,,,2760,227,295,1
,,,2760,232,178,1
,,,2760,227,272,1
,,,2760,204,276,1
,,,2760,195,225,1
,,,2760,223,222,1
,,,2760,222,196,1
,,,2760,184,283,1
,,,2760,225,277,1
,,,2760,242,264,1
,,,2760,239,228,1
,,,2760,765,116,0
,,,2760,262,471,0
,,,2760,99,80,0
,,,2760,463,548,0
,,,2760,605,351,0
,,,2760,178,60,0
,,,2760,432,248,0
,,,2760,716,112,0
,,,2760,489,335,0
,,,2760,103,246,0
,,,2760,263,407,0
,,,2760,283,252,0
,,,2790,142,253,1
,,,2790,197,113,1
,,,2790,84,223,1
,,,2790,121,209,1
,,,2790,173,272,1
,,,2790,151,128,1
,,,2790,174,149,1
,,,2790,183,170,1
,,,2790,118,163,1
,,,2790,138,179,1
,,,2790,147,301,1
,,,2790,174,222,1
,,,2790,37,266,0
,,,2790,311,293,0
,,,2790,345,96,0
,,,2790,326,291,0
,,,2790,281,164,0
,,,2790,703,161,0
,,,2790,652,283,0
,,,2790,552,161,0
,,,2790,662,473,0
,,,2790,144,539,0
,,,2790,320,241,0
,,,2790,223,302,0
