Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,225,720,270,387,59,1
,,,270,368,35,1
,,,270,395,48,1
,,,270,540,111,1
,,,270,382,65,1
,,,270,341,50,1
,,,270,458,37,1
,,,270,521,122,1
,,,270,497,70,1
,,,270,464,103,1
,,,270,540,68,1
,,,270,444,93,1
,,,270,34,324,0
,,,270,394,261,0
,,,270,274,540,0
,,,270,401,241,0
,,,270,469,314,0
,,,270,435,445,0
,,,270,344,233,0
,,,270,596,406,0
,,,270,603,366,0
,,,270,132,28,0
,,,270,344,133,0
,,,270,178,424,0
,,,300,370,71,1
,,,300,465,78,1
,,,300,306,101,1
,,,300,572,137,1
,,,300,283,78,1
,,,300,462,44,1
,,,300,364,44,1
,,,300,394,43,1
,,,300,389,86,1
,,,300,464,63,1
,,,300,373,94,1
,,,300,323,63,1
,,,300,517,423,0
,,,300,192,23,0
,,,300,26,40,0
,,,300,563,286,0
,,,300,66,324,0
,,,300,642,416,0
,,,300,208,232,0
,,,300,565,252,0
,,,300,489,416,0
,,,300,399,220,0
,,,300,266,266,0
,,,300,194,166,0
,,,405,399,21,1
,,,405,535,68,1
,,,405,475,100,1
,,,405,500,87,1
,,,405,509,84,1
,,,405,412,22,1
,,,405,534,114,1
,,,405,489,115,1
,,,405,383,78,1
,,,405,460,105,1
,,,405,379,21,1
,,,405,524,57,1
,,,405,586,183,0
,,,405,571,403,0
,,,405,127,471,0
,,,405,35,133,0
,,,405,591,184,0
,,,405,227,194,0
,,,405,611,511,0
,,,405,227,177,0
,,,405,506,144,0
,,,405,272,486,0
,,,405,363,189,0
,,,405,158,241,0
,,,615,313,151,1
,,,615,535,409,1
,,,615,326,434,1
,,,615,586,122,1
,,,615,335,101,1
,,,615,444,146,1
,,,615,326,158,1
,,,615,597,159,1
,,,615,306,228,1
,,,615,457,393,1
,,,615,593,325,1
,,,615,422,418,1
,,,615,717,143,0
,,,615,277,274,0
,,,615,179,105,0
,,,615,56,416,0
,,,615,643,418,0
,,,615,1,298,0
,,,615,411,22,0
,,,615,713,257,0
,,,615,6,283,0
,,,615,661,79,0
,,,615,40,310,0
,,,615,116,488,0
,,,660,663,264,1
,,,660,697,325,1
,,,660,565,200,1
,,,660,696,325,1
,,,660,504,385,1
,,,660,567,311,1
,,,660,567,410,1
,,,660,650,134,1
,,,660,632,58,1
,,,660,679,362,1
,,,660,561,74,1
,,,660,553,154,1
,,,660,34,494,0
,,,660,201,292,0
,,,660,123,409,0
,,,660,633,552,0
,,,660,8,362,0
,,,660,183,508,0
,,,660,331,367,0
,,,660,490,97,0
,,,660,206,88,0
,,,660,328,363,0
,,,660,168,492,0
,,,660,270,121,0
,,,705,626,75,1
,,,705,610,281,1
,,,705,596,329,1
,,,705,562,421,1
,,,705,577,173,1
,,,705,634,153,1
,,,705,612,224,1
,,,705,582,246,1
,,,705,637,419,1
,,,705,708,176,1
,,,705,703,263,1
,,,705,716,235,1
,,,705,203,407,0
,,,705,677,8,0
,,,705,110,256,0
,,,705,34,545,0
,,,705,211,540,0
,,,705,83,413,0
,,,705,78,372,0
,,,705,296,14,0
,,,705,195,19,0
,,,705,475,129,0
,,,705,398,565,0
,,,705,211,507,0
,,,720,560,85,1
,,,720,641,250,1
,,,720,502,107,1
,,,720,609,322,1
,,,720,707,97,1
,,,720,561,49,1
,,,720,641,43,1
,,,720,624,134,1
,,,720,583,350,1
,,,720,572,109,1
,,,720,596,278,1
,,,720,594,285,1
,,,720,597,555,0
,,,720,333,352,0
,,,720,154,472,0
,,,720,446,158,0
,,,720,49,375,0
,,,720,202,475,0
,,,720,512,526,0
,,,720,310,114,0
,,,720,85,446,0
,,,720,183,571,0
,,,720,573,561,0
,,,720,215,485,0
