Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,4375,4870,4405,522,67,1
,,,4405,636,29,1
,,,4405,693,4,1
,,,4405,534,68,1
,,,4405,614,34,1
,,,4405,548,64,1
,,,4405,553,60,1
,,,4405,677,8,1
,,,4405,678,14,1
,,,4405,648,22,1
,,,4405,655,24,1
,,,4405,667,11,1
,,,4405,64,564,0
,,,4405,73,402,0
,,,4405,247,88,0
,,,4405,685,82,0
,,,4405,227,220,0
,,,4405,388,563,0
,,,4405,568,207,0
,,,4405,510,517,0
,,,4405,406,404,0
,,,4405,16,6,0
,,,4405,46,181,0
,,,4405,715,0,0
