Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,6825,7320,6990,251,81,1
,,,6990,299,300,1
,,,6990,272,126,1
,,,6990,425,308,1
,,,6990,163,552,1
,,,6990,352,302,1
,,,6990,176,181,1
,,,6990,87,143,1
,,,6990,221,131,1
,,,6990,217,244,1
,,,6990,145,214,1
,,,6990,259,387,1
,,,6990,3,17,0
,,,6990,606,263,0
,,,6990,552,470,0
,,,6990,429,107,0
,,,6990,506,501,0
,,,6990,706,456,0
,,,6990,551,416,0
,,,6990,491,233,0
,,,6990,569,458,0
,,,6990,428,563,0
,,,6990,481,204,0
,,,6990,360,573,0
,,,7050,166,343,1
,,,7050,654,262,1
,,,7050,109,407,1
,,,7050,430,289,1
,,,7050,256,335,1
,,,7050,345,323,1
,,,7050,475,291,1
,,,7050,325,317,1
,,,7050,232,346,1
,,,7050,633,265,1
,,,7050,467,285,1
,,,7050,164,366,1
,,,7050,256,281,0
,,,7050,49,555,0
,,,7050,698,192,0
,,,7050,351,73,0
,,,7050,658,573,0
,,,7050,461,357,0
,,,7050,112,38,0
,,,7050,73,219,0
,,,7050,702,460,0
,,,7050,548,451,0
,,,7050,594,419,0
,,,7050,14,256,0
,,,7080,73,235,1
,,,7080,290,278,1
,,,7080,220,263,1
,,,7080,104,250,1
,,,7080,253,272,1
,,,7080,299,288,1
,,,7080,603,424,1
,,,7080,543,374,1
,,,7080,152,247,1
,,,7080,497,358,1
,,,7080,239,265,1
,,,7080,610,445,1
,,,7080,399,504,0
,,,7080,6,509,0
,,,7080,652,116,0
,,,7080,262,295,0
,,,7080,55,381,0
,,,7080,415,512,0
,,,7080,491,241,0
,,,7080,450,344,0
,,,7080,431,33,0
,,,7080,360,28,0
,,,7080,662,355,0
,,,7080,184,15,0
,,,7095,598,427,1
,,,7095,597,415,1
,,,7095,184,261,1
,,,7095,185,261,1
,,,7095,506,360,1
,,,7095,59,241,1
,,,7095,321,289,1
,,,7095,580,415,1
,,,7095,549,387,1
,,,7095,349,289,1
,,,7095,276,284,1
,,,7095,637,458,1
,,,7095,294,336,0
,,,7095,366,370,0
,,,7095,136,266,0
,,,7095,554,532,0
,,,7095,144,201,0
,,,7095,445,459,0
,,,7095,605,150,0
,,,7095,597,97,0
,,,7095,594,554,0
,,,7095,96,104,0
,,,7095,176,505,0
,,,7095,675,479,0
,,,7215,169,166,1
,,,7215,528,186,1
,,,7215,318,468,1
,,,7215,627,288,1
,,,7215,448,154,1
,,,7215,420,284,1
,,,7215,395,129,1
,,,7215,388,412,1
,,,7215,665,199,1
,,,7215,261,389,1
,,,7215,604,293,1
,,,7215,525,99,1
,,,7215,559,537,0
,,,7215,27,547,0
,,,7215,23,63,0
,,,7215,12,35,0
,,,7215,329,559,0
,,,7215,12,327,0
,,,7215,560,476,0
,,,7215,30,274,0
,,,7215,605,553,0
,,,7215,265,540,0
,,,7215,34,62,0
,,,7215,1,573,0
,,,7290,191,182,1
,,,7290,290,160,1
,,,7290,353,194,1
,,,7290,259,281,1
,,,7290,326,482,1
,,,7290,218,406,1
,,,7290,462,354,1
,,,7290,590,375,1
,,,7290,594,448,1
,,,7290,174,204,1
,,,7290,281,163,1
,,,7290,398,149,1
,,,7290,130,353,0
,,,7290,694,14,0
,,,7290,71,444,0
,,,7290,615,40,0
,,,7290,28,548,0
,,,7290,653,137,0
,,,7290,641,171,0
,,,7290,541,103,0
,,,7290,232,470,0
,,,7290,131,438,0
,,,7290,634,250,0
,,,7290,476,77,0
