Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3975,4470,4035,209,146,1
,,,4035,254,126,1
,,,4035,238,128,1
,,,4035,142,163,1
,,,4035,135,171,1
,,,4035,172,149,1
,,,4035,133,177,1
,,,4035,171,154,1
,,,4035,243,121,1
,,,4035,158,158,1
,,,4035,102,167,1
,,,4035,219,144,1
,,,4035,8,434,0
,,,4035,362,458,0
,,,4035,698,81,0
,,,4035,624,354,0
,,,4035,635,427,0
,,,4035,480,397,0
,,,4035,247,242,0
,,,4035,692,96,0
,,,4035,610,554,0
,,,4035,589,340,0
,,,4035,469,189,0
,,,4035,306,391,0
