Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,575,1070,665,766,344,1
,,,665,717,194,1
,,,665,734,173,1
,,,665,766,226,1
,,,665,718,184,1
,,,665,745,334,1
,,,665,728,125,1
,,,665,751,205,1
,,,665,715,125,1
,,,665,703,99,1
,,,665,734,141,1
,,,665,743,247,1
,,,665,87,349,0
,,,665,452,225,0
,,,665,603,4,0
,,,665,453,485,0
,,,665,128,358,0
,,,665,15,44,0
,,,665,84,253,0
,,,665,314,503,0
,,,665,536,532,0
,,,665,256,294,0
,,,665,608,86,0
,,,665,23,540,0
,,,680,594,305,1
,,,680,553,106,1
,,,680,582,252,1
,,,680,592,141,1
,,,680,595,158,1
,,,680,593,237,1
,,,680,589,279,1
,,,680,568,255,1
,,,680,581,273,1
,,,680,596,284,1
,,,680,574,270,1
,,,680,587,308,1
,,,680,267,74,0
,,,680,334,161,0
,,,680,645,542,0
,,,680,84,23,0
,,,680,543,371,0
,,,680,516,184,0
,,,680,22,184,0
,,,680,130,7,0
,,,680,342,183,0
,,,680,747,371,0
,,,680,682,6,0
,,,680,380,402,0
,,,710,377,169,1
,,,710,341,121,1
,,,710,377,248,1
,,,710,394,181,1
,,,710,378,187,1
,,,710,353,132,1
,,,710,391,242,1
,,,710,401,168,1
,,,710,404,277,1
,,,710,344,99,1
,,,710,398,250,1
,,,710,365,167,1
,,,710,95,443,0
,,,710,571,258,0
,,,710,67,367,0
,,,710,571,342,0
,,,710,297,530,0
,,,710,5,458,0
,,,710,532,268,0
,,,710,333,251,0
,,,710,580,192,0
,,,710,304,4,0
,,,710,20,392,0
,,,710,94,175,0
,,,815,232,193,1
,,,815,286,105,1
,,,815,232,205,1
,,,815,280,103,1
,,,815,237,235,1
,,,815,245,222,1
,,,815,240,183,1
,,,815,227,213,1
,,,815,258,137,1
,,,815,233,208,1
,,,815,287,108,1
,,,815,273,121,1
,,,815,222,225,0
,,,815,111,215,0
,,,815,210,440,0
,,,815,667,213,0
,,,815,322,554,0
,,,815,680,287,0
,,,815,25,357,0
,,,815,767,283,0
,,,815,397,434,0
,,,815,312,139,0
,,,815,81,12,0
,,,815,298,557,0
,,,890,252,165,1
,,,890,289,131,1
,,,890,249,170,1
,,,890,274,146,1
,,,890,225,202,1
,,,890,277,120,1
,,,890,293,114,1
,,,890,237,172,1
,,,890,276,132,1
,,,890,244,144,1
,,,890,223,204,1
,,,890,262,154,1
,,,890,260,38,0
,,,890,122,492,0
,,,890,601,568,0
,,,890,734,315,0
,,,890,91,574,0
,,,890,26,220,0
,,,890,704,339,0
,,,890,586,319,0
,,,890,196,204,0
,,,890,182,140,0
,,,890,357,75,0
,,,890,454,320,0
,,,920,275,113,1
,,,920,250,183,1
,,,920,251,215,1
,,,920,245,161,1
,,,920,274,110,1
,,,920,265,144,1
,,,920,255,220,1
,,,920,252,230,1
,,,920,260,144,1
,,,920,234,226,1
,,,920,245,224,1
,,,920,255,204,1
,,,920,360,74,0
,,,920,188,246,0
,,,920,342,505,0
,,,920,558,139,0
,,,920,105,287,0
,,,920,54,216,0
,,,920,25,383,0
,,,920,346,75,0
,,,920,108,129,0
,,,920,43,218,0
,,,920,488,494,0
,,,920,524,529,0
,,,935,250,188,1
,,,935,243,231,1
,,,935,235,230,1
,,,935,218,221,1
,,,935,226,188,1
,,,935,255,178,1
,,,935,268,107,1
,,,935,240,145,1
,,,935,266,140,1
,,,935,269,105,1
,,,935,264,171,1
,,,935,218,188,1
,,,935,548,305,0
,,,935,429,565,0
,,,935,412,193,0
,,,935,189,214,0
,,,935,478,104,0
,,,935,458,30,0
,,,935,359,335,0
,,,935,304,521,0
,,,935,19,322,0
,,,935,525,288,0
,,,935,519,549,0
,,,935,195,462,0
