Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,1775,2270,1805,534,287,1
,,,1805,521,286,1
,,,1805,533,291,1
,,,1805,546,266,1
,,,1805,528,188,1
,,,1805,533,187,1
,,,1805,528,254,1
,,,1805,542,254,1
,,,1805,542,273,1
,,,1805,522,251,1
,,,1805,536,289,1
,,,1805,557,254,1
,,,1805,1,241,0
,,,1805,149,308,0
,,,1805,505,221,0
,,,1805,357,400,0
,,,1805,238,101,0
,,,1805,502,340,0
,,,1805,575,572,0
,,,1805,742,76,0
,,,1805,19,569,0
,,,1805,182,203,0
,,,1805,303,52,0
,,,1805,673,118,0
,,,1820,507,149,1
,,,1820,575,252,1
,,,1820,526,149,1
,,,1820,564,259,1
,,,1820,555,211,1
,,,1820,548,251,1
,,,1820,547,173,1
,,,1820,562,210,1
,,,1820,527,200,1
,,,1820,533,194,1
,,,1820,571,194,1
,,,1820,546,248,1
,,,1820,86,346,0
,,,1820,504,14,0
,,,1820,749,5,0
,,,1820,52,435,0
,,,1820,675,519,0
,,,1820,503,19,0
,,,1820,315,341,0
,,,1820,419,517,0
,,,1820,392,406,0
,,,1820,158,458,0
,,,1820,226,391,0
,,,1820,350,333,0
,,,2135,180,554,1
,,,2135,487,303,1
,,,2135,393,155,1
,,,2135,493,394,1
,,,2135,499,13,1
,,,2135,571,545,1
,,,2135,358,116,1
,,,2135,697,336,1
,,,2135,534,383,1
,,,2135,486,432,1
,,,2135,301,124,1
,,,2135,605,152,1
,,,2135,626,555,0
,,,2135,29,50,0
,,,2135,39,133,0
,,,2135,65,234,0
,,,2135,210,523,0
,,,2135,46,315,0
,,,2135,42,320,0
,,,2135,179,361,0
,,,2135,113,23,0
,,,2135,671,544,0
,,,2135,19,54,0
,,,2135,7,494,0
,,,2180,497,17,1
,,,2180,403,377,1
,,,2180,533,400,1
,,,2180,247,193,1
,,,2180,232,364,1
,,,2180,234,256,1
,,,2180,250,197,1
,,,2180,512,66,1
,,,2180,299,139,1
,,,2180,284,18,1
,,,2180,491,115,1
,,,2180,634,351,1
,,,2180,88,274,0
,,,2180,583,568,0
,,,2180,7,513,0
,,,2180,725,104,0
,,,2180,235,553,0
,,,2180,569,533,0
,,,2180,30,12,0
,,,2180,750,567,0
,,,2180,758,444,0
,,,2180,442,538,0
,,,2180,63,221,0
,,,2180,3,163,0
,,,2195,676,418,1
,,,2195,499,235,1
,,,2195,638,510,1
,,,2195,479,295,1
,,,2195,446,188,1
,,,2195,613,385,1
,,,2195,699,139,1
,,,2195,273,129,1
,,,2195,355,478,1
,,,2195,215,201,1
,,,2195,648,222,1
,,,2195,281,107,1
,,,2195,119,484,0
,,,2195,700,404,0
,,,2195,620,532,0
,,,2195,85,530,0
,,,2195,13,355,0
,,,2195,542,564,0
,,,2195,66,420,0
,,,2195,601,554,0
,,,2195,737,434,0
,,,2195,204,461,0
,,,2195,27,77,0
,,,2195,283,555,0
,,,2270,698,455,1
,,,2270,277,497,1
,,,2270,339,119,1
,,,2270,360,360,1
,,,2270,387,34,1
,,,2270,475,282,1
,,,2270,407,517,1
,,,2270,450,179,1
,,,2270,692,421,1
,,,2270,417,193,1
,,,2270,343,13,1
,,,2270,556,280,1
,,,2270,107,557,0
,,,2270,80,172,0
,,,2270,720,368,0
,,,2270,764,288,0
,,,2270,689,15,0
,,,2270,177,466,0
,,,2270,671,543,0
,,,2270,73,197,0
,,,2270,96,402,0
,,,2270,10,319,0
,,,2270,293,550,0
,,,2270,62,409,0
