Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,650,1145,1085,553,435,1
,,,1085,700,120,1
,,,1085,409,140,1
,,,1085,373,391,1
,,,1085,532,406,1
,,,1085,554,208,1
,,,1085,508,170,1
,,,1085,386,344,1
,,,1085,616,174,1
,,,1085,470,180,1
,,,1085,380,365,1
,,,1085,539,100,1
,,,1085,28,238,0
,,,1085,173,21,0
,,,1085,313,121,0
,,,1085,304,483,0
,,,1085,659,44,0
,,,1085,314,449,0
,,,1085,220,238,0
,,,1085,713,63,0
,,,1085,13,401,0
,,,1085,176,431,0
,,,1085,156,270,0
,,,1085,314,245,0
,,,710,63,417,1
,,,710,57,318,1
,,,710,66,259,1
,,,710,64,481,1
,,,710,3,165,1
,,,710,36,278,1
,,,710,4,379,1
,,,710,24,459,1
,,,710,78,442,1
,,,710,26,193,1
,,,710,78,484,1
,,,710,25,474,1
,,,710,374,550,0
,,,710,457,448,0
,,,710,202,228,0
,,,710,593,319,0
,,,710,234,55,0
,,,710,136,462,0
,,,710,350,118,0
,,,710,662,105,0
,,,710,581,562,0
,,,710,568,460,0
,,,710,142,300,0
,,,710,479,367,0
,,,725,15,310,1
,,,725,47,254,1
,,,725,29,290,1
,,,725,4,551,1
,,,725,15,425,1
,,,725,18,395,1
,,,725,17,444,1
,,,725,34,493,1
,,,725,45,435,1
,,,725,71,519,1
,,,725,22,527,1
,,,725,109,434,1
,,,725,188,152,0
,,,725,610,490,0
,,,725,181,130,0
,,,725,415,196,0
,,,725,147,86,0
,,,725,521,93,0
,,,725,269,503,0
,,,725,608,514,0
,,,725,435,525,0
,,,725,615,29,0
,,,725,359,541,0
,,,725,677,567,0
,,,830,441,234,1
,,,830,495,46,1
,,,830,581,556,1
,,,830,448,401,1
,,,830,476,197,1
,,,830,656,386,1
,,,830,579,394,1
,,,830,435,252,1
,,,830,455,308,1
,,,830,465,415,1
,,,830,648,202,1
,,,830,484,523,1
,,,830,205,236,0
,,,830,68,145,0
,,,830,252,457,0
,,,830,24,151,0
,,,830,274,329,0
,,,830,33,489,0
,,,830,334,23,0
,,,830,720,60,0
,,,830,47,414,0
,,,830,458,1,0
,,,830,291,261,0
,,,830,68,92,0
,,,860,675,507,1
,,,860,533,559,1
,,,860,587,126,1
,,,860,584,561,1
,,,860,393,198,1
,,,860,583,183,1
,,,860,546,371,1
,,,860,377,161,1
,,,860,598,65,1
,,,860,709,161,1
,,,860,472,397,1
,,,860,584,25,1
,,,860,325,271,0
,,,860,354,480,0
,,,860,31,195,0
,,,860,167,379,0
,,,860,309,59,0
,,,860,399,6,0
,,,860,84,5,0
,,,860,188,195,0
,,,860,313,328,0
,,,860,42,138,0
,,,860,91,457,0
,,,860,147,250,0
,,,950,410,425,1
,,,950,617,189,1
,,,950,537,68,1
,,,950,423,204,1
,,,950,640,564,1
,,,950,652,449,1
,,,950,604,450,1
,,,950,454,260,1
,,,950,581,474,1
,,,950,580,389,1
,,,950,406,122,1
,,,950,550,346,1
,,,950,199,391,0
,,,950,164,110,0
,,,950,245,484,0
,,,950,150,434,0
,,,950,689,56,0
,,,950,178,67,0
,,,950,184,472,0
,,,950,180,390,0
,,,950,132,575,0
,,,950,329,410,0
,,,950,143,273,0
,,,950,86,6,0
,,,995,564,154,1
,,,995,605,72,1
,,,995,361,221,1
,,,995,632,173,1
,,,995,590,547,1
,,,995,599,370,1
,,,995,538,102,1
,,,995,474,518,1
,,,995,537,137,1
,,,995,529,280,1
,,,995,502,270,1
,,,995,681,529,1
,,,995,414,2,0
,,,995,167,120,0
,,,995,169,125,0
,,,995,124,225,0
,,,995,126,184,0
,,,995,214,109,0
,,,995,183,6,0
,,,995,231,377,0
,,,995,43,558,0
,,,995,122,222,0
,,,995,706,573,0
,,,995,13,273,0
