Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,6250,6745,6490,72,492,1
,,,6490,582,354,1
,,,6490,93,506,1
,,,6490,206,277,1
,,,6490,61,506,1
,,,6490,216,252,1
,,,6490,191,261,1
,,,6490,21,460,1
,,,6490,434,262,1
,,,6490,436,251,1
,,,6490,348,264,1
,,,6490,43,522,1
,,,6490,436,54,0
,,,6490,39,330,0
,,,6490,227,194,0
,,,6490,100,298,0
,,,6490,315,126,0
,,,6490,473,322,0
,,,6490,574,302,0
,,,6490,737,440,0
,,,6490,419,500,0
,,,6490,599,332,0
,,,6490,734,155,0
,,,6490,651,228,0
,,,6700,198,34,1
,,,6700,482,273,1
,,,6700,563,151,1
,,,6700,292,163,1
,,,6700,476,395,1
,,,6700,172,94,1
,,,6700,466,377,1
,,,6700,436,326,1
,,,6700,521,278,1
,,,6700,218,38,1
,,,6700,388,97,1
,,,6700,470,38,1
,,,6700,196,390,0
,,,6700,90,462,0
,,,6700,234,557,0
,,,6700,277,521,0
,,,6700,187,483,0
,,,6700,585,308,0
,,,6700,280,469,0
,,,6700,634,164,0
,,,6700,182,7,0
,,,6700,420,421,0
,,,6700,46,268,0
,,,6700,6,107,0
,,,6715,420,201,1
,,,6715,328,311,1
,,,6715,260,161,1
,,,6715,434,289,1
,,,6715,530,82,1
,,,6715,367,365,1
,,,6715,516,228,1
,,,6715,315,285,1
,,,6715,487,285,1
,,,6715,331,17,1
,,,6715,495,371,1
,,,6715,330,44,1
,,,6715,633,127,0
,,,6715,647,179,0
,,,6715,767,201,0
,,,6715,315,500,0
,,,6715,12,429,0
,,,6715,310,572,0
,,,6715,707,437,0
,,,6715,11,213,0
,,,6715,15,170,0
,,,6715,88,288,0
,,,6715,94,108,0
,,,6715,673,432,0
