Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BABBA,1800,2525,1800,368,386,0
,,,1800,398,386,0
,,,1800,465,406,0
,,,1800,521,420,0
,,,1800,573,440,0
,,,1800,628,459,0
,,,1800,663,482,0
,,,1800,645,505,0
,,,1800,516,499,0
,,,1800,409,471,0
,,,1800,289,422,0
,,,1800,131,374,0
,,,1800,149,295,0
,,,1800,275,211,0
,,,1800,377,216,0
,,,1800,539,148,0
,,,1825,663,402,0
,,,1825,668,422,0
,,,1825,688,429,0
,,,1825,697,431,0
,,,1825,626,403,0
,,,1850,428,392,0
,,,1850,494,414,0
,,,1850,529,428,0
,,,1850,567,437,0
,,,1850,608,453,0
,,,1850,640,465,0
,,,1850,663,477,0
,,,1875,669,470,0
,,,1875,669,470,0
,,,1875,589,453,0
,,,1875,569,437,0
,,,1875,524,422,0
,,,1875,487,420,0
,,,1875,462,400,0
,,,1900,477,403,0
,,,1900,608,448,0
,,,2350,484,403,1
,,,2350,626,354,1
,,,2350,391,371,1
,,,2350,417,284,0
,,,2350,547,488,0
,,,2350,640,284,0
,,,2350,361,456,0
,,,2500,446,412,0
,,,2500,580,437,0
,,,2500,634,425,0
,,,2500,680,361,0
,,,2500,666,273,0
,,,2500,682,183,0
,,,2500,216,234,1
,,,2500,101,177,1
,,,2500,45,188,1
,,,2500,285,279,1
,,,2500,321,296,1
,,,2500,363,251,0
,,,2500,375,318,0
,,,2500,369,352,0
,,,2500,324,378,0
,,,2500,185,341,0
,,,2500,141,324,0
,,,2500,210,141,0
