Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3925,4420,4360,417,225,1
,,,4360,392,282,1
,,,4360,409,228,1
,,,4360,432,380,1
,,,4360,429,359,1
,,,4360,414,396,1
,,,4360,370,287,1
,,,4360,444,164,1
,,,4360,435,189,1
,,,4360,455,191,1
,,,4360,415,241,1
,,,4360,418,327,1
,,,4360,213,82,0
,,,4360,456,299,0
,,,4360,54,124,0
,,,4360,433,423,0
,,,4360,98,10,0
,,,4360,414,523,0
,,,4360,194,21,0
,,,4360,641,553,0
,,,4360,530,380,0
,,,4360,177,159,0
,,,4360,424,75,0
,,,4360,624,76,0
,,,4405,435,383,1
,,,4405,384,205,1
,,,4405,406,241,1
,,,4405,445,200,1
,,,4405,448,147,1
,,,4405,439,352,1
,,,4405,415,233,1
,,,4405,454,195,1
,,,4405,418,261,1
,,,4405,425,343,1
,,,4405,456,143,1
,,,4405,396,349,1
,,,4405,16,95,0
,,,4405,190,108,0
,,,4405,566,522,0
,,,4405,452,526,0
,,,4405,740,285,0
,,,4405,607,390,0
,,,4405,712,447,0
,,,4405,694,304,0
,,,4405,659,333,0
,,,4405,334,2,0
,,,4405,215,322,0
,,,4405,269,509,0
,,,4420,397,176,1
,,,4420,438,194,1
,,,4420,397,293,1
,,,4420,423,344,1
,,,4420,434,280,1
,,,4420,378,213,1
,,,4420,386,329,1
,,,4420,457,152,1
,,,4420,443,284,1
,,,4420,430,393,1
,,,4420,430,253,1
,,,4420,420,315,1
,,,4420,353,252,0
,,,4420,285,454,0
,,,4420,727,401,0
,,,4420,518,300,0
,,,4420,689,408,0
,,,4420,50,143,0
,,,4420,445,504,0
,,,4420,429,449,0
,,,4420,141,75,0
,,,4420,741,283,0
,,,4420,284,266,0
,,,4420,272,252,0
