Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,11650,12145,11650,210,112,1
,,,11650,215,104,1
,,,11650,240,100,1
,,,11650,238,97,1
,,,11650,218,104,1
,,,11650,213,111,1
,,,11650,225,99,1
,,,11650,215,105,1
,,,11650,237,97,1
,,,11650,223,107,1
,,,11650,238,104,1
,,,11650,227,103,1
,,,11650,480,56,0
,,,11650,296,499,0
,,,11650,15,410,0
,,,11650,33,14,0
,,,11650,76,490,0
,,,11650,465,273,0
,,,11650,477,30,0
,,,11650,287,168,0
,,,11650,272,198,0
,,,11650,94,167,0
,,,11650,45,56,0
,,,11650,103,494,0
,,,11800,287,106,1
,,,11800,336,110,1
,,,11800,247,153,1
,,,11800,318,116,1
,,,11800,250,166,1
,,,11800,318,137,1
,,,11800,269,149,1
,,,11800,312,115,1
,,,11800,326,98,1
,,,11800,298,141,1
,,,11800,349,118,1
,,,11800,294,151,1
,,,11800,193,460,0
,,,11800,90,341,0
,,,11800,706,459,0
,,,11800,746,526,0
,,,11800,360,266,0
,,,11800,566,509,0
,,,11800,254,104,0
,,,11800,215,223,0
,,,11800,755,20,0
,,,11800,124,421,0
,,,11800,724,337,0
,,,11800,218,496,0
,,,11980,269,335,1
,,,11980,171,66,1
,,,11980,617,134,1
,,,11980,681,519,1
,,,11980,670,230,1
,,,11980,528,336,1
,,,11980,227,116,1
,,,11980,529,97,1
,,,11980,565,552,1
,,,11980,349,410,1
,,,11980,695,505,1
,,,11980,586,169,1
,,,11980,216,472,0
,,,11980,308,443,0
,,,11980,114,566,0
,,,11980,359,573,0
,,,11980,283,443,0
,,,11980,188,515,0
,,,11980,366,459,0
,,,11980,308,446,0
,,,11980,346,498,0
,,,11980,397,490,0
,,,11980,154,479,0
,,,11980,78,271,0
,,,12070,658,293,1
,,,12070,420,2,1
,,,12070,441,475,1
,,,12070,711,458,1
,,,12070,742,129,1
,,,12070,404,452,1
,,,12070,652,143,1
,,,12070,122,50,1
,,,12070,565,476,1
,,,12070,84,359,1
,,,12070,372,78,1
,,,12070,684,114,1
,,,12070,10,496,0
,,,12070,375,563,0
,,,12070,290,569,0
,,,12070,155,555,0
,,,12070,69,520,0
,,,12070,700,552,0
,,,12070,768,111,0
,,,12070,506,518,0
,,,12070,132,493,0
,,,12070,132,502,0
,,,12070,181,571,0
,,,12070,193,560,0
,,,12100,207,216,1
,,,12100,451,218,1
,,,12100,604,334,1
,,,12100,717,402,1
,,,12100,285,171,1
,,,12100,509,341,1
,,,12100,198,312,1
,,,12100,651,526,1
,,,12100,647,78,1
,,,12100,289,78,1
,,,12100,226,10,1
,,,12100,616,353,1
,,,12100,88,451,0
,,,12100,727,544,0
,,,12100,4,459,0
,,,12100,518,527,0
,,,12100,434,552,0
,,,12100,122,534,0
,,,12100,609,564,0
,,,12100,121,507,0
,,,12100,48,476,0
,,,12100,207,563,0
,,,12100,212,547,0
,,,12100,768,359,0
,,,12145,204,320,1
,,,12145,135,449,1
,,,12145,256,65,1
,,,12145,449,9,1
,,,12145,725,482,1
,,,12145,739,452,1
,,,12145,567,60,1
,,,12145,352,258,1
,,,12145,585,501,1
,,,12145,555,176,1
,,,12145,602,500,1
,,,12145,99,185,1
,,,12145,0,534,0
,,,12145,22,458,0
,,,12145,273,561,0
,,,12145,141,529,0
,,,12145,8,376,0
,,,12145,748,148,0
,,,12145,653,560,0
,,,12145,2,324,0
,,,12145,136,545,0
,,,12145,672,536,0
,,,12145,24,512,0
,,,12145,543,561,0
