Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2375,2870,2495,552,306,1
,,,2495,230,256,1
,,,2495,293,300,1
,,,2495,472,279,1
,,,2495,368,393,1
,,,2495,261,445,1
,,,2495,557,135,1
,,,2495,547,232,1
,,,2495,428,356,1
,,,2495,236,327,1
,,,2495,133,274,1
,,,2495,184,50,1
,,,2495,40,313,0
,,,2495,648,344,0
,,,2495,703,321,0
,,,2495,6,412,0
,,,2495,688,407,0
,,,2495,715,168,0
,,,2495,603,182,0
,,,2495,69,476,0
,,,2495,625,502,0
,,,2495,696,354,0
,,,2495,73,266,0
,,,2495,689,559,0
,,,2540,117,249,1
,,,2540,444,115,1
,,,2540,416,207,1
,,,2540,446,105,1
,,,2540,561,233,1
,,,2540,168,324,1
,,,2540,389,188,1
,,,2540,217,281,1
,,,2540,343,274,1
,,,2540,319,205,1
,,,2540,520,154,1
,,,2540,132,292,1
,,,2540,60,41,0
,,,2540,38,329,0
,,,2540,309,555,0
,,,2540,541,408,0
,,,2540,534,19,0
,,,2540,705,362,0
,,,2540,18,501,0
,,,2540,122,447,0
,,,2540,605,8,0
,,,2540,662,54,0
,,,2540,68,170,0
,,,2540,676,186,0
,,,2690,319,182,1
,,,2690,240,165,1
,,,2690,230,386,1
,,,2690,474,330,1
,,,2690,134,69,1
,,,2690,414,216,1
,,,2690,296,250,1
,,,2690,485,189,1
,,,2690,418,161,1
,,,2690,143,196,1
,,,2690,559,294,1
,,,2690,329,435,1
,,,2690,6,446,0
,,,2690,608,445,0
,,,2690,606,305,0
,,,2690,685,494,0
,,,2690,614,262,0
,,,2690,294,530,0
,,,2690,391,538,0
,,,2690,679,143,0
,,,2690,213,520,0
,,,2690,32,563,0
,,,2690,304,531,0
,,,2690,56,300,0
,,,2735,342,343,1
,,,2735,262,59,1
,,,2735,307,351,1
,,,2735,158,130,1
,,,2735,522,197,1
,,,2735,411,16,1
,,,2735,424,125,1
,,,2735,249,5,1
,,,2735,622,115,1
,,,2735,368,467,1
,,,2735,204,439,1
,,,2735,556,207,1
,,,2735,95,550,0
,,,2735,653,519,0
,,,2735,375,562,0
,,,2735,50,171,0
,,,2735,587,53,0
,,,2735,288,509,0
,,,2735,218,559,0
,,,2735,590,531,0
,,,2735,57,225,0
,,,2735,57,565,0
,,,2735,84,450,0
,,,2735,707,536,0
,,,2750,183,23,1
,,,2750,383,92,1
,,,2750,492,98,1
,,,2750,379,409,1
,,,2750,374,108,1
,,,2750,274,365,1
,,,2750,445,342,1
,,,2750,425,432,1
,,,2750,109,310,1
,,,2750,304,251,1
,,,2750,449,184,1
,,,2750,185,11,1
,,,2750,17,415,0
,,,2750,621,468,0
,,,2750,42,55,0
,,,2750,90,489,0
,,,2750,707,127,0
,,,2750,582,539,0
,,,2750,675,191,0
,,,2750,48,49,0
,,,2750,138,414,0
,,,2750,313,541,0
,,,2750,516,422,0
,,,2750,224,494,0
,,,2765,102,62,1
,,,2765,412,225,1
,,,2765,264,103,1
,,,2765,293,45,1
,,,2765,172,122,1
,,,2765,351,302,1
,,,2765,267,393,1
,,,2765,570,284,1
,,,2765,447,98,1
,,,2765,98,113,1
,,,2765,472,141,1
,,,2765,467,354,1
,,,2765,34,207,0
,,,2765,690,298,0
,,,2765,695,49,0
,,,2765,138,419,0
,,,2765,707,312,0
,,,2765,422,489,0
,,,2765,60,164,0
,,,2765,700,255,0
,,,2765,567,484,0
,,,2765,719,405,0
,,,2765,33,216,0
,,,2765,601,344,0
,,,2825,312,282,1
,,,2825,268,65,1
,,,2825,463,279,1
,,,2825,240,197,1
,,,2825,135,122,1
,,,2825,260,62,1
,,,2825,278,247,1
,,,2825,321,192,1
,,,2825,565,146,1
,,,2825,442,71,1
,,,2825,247,319,1
,,,2825,550,243,1
,,,2825,11,510,0
,,,2825,548,474,0
,,,2825,38,366,0
,,,2825,632,152,0
,,,2825,265,484,0
,,,2825,697,166,0
,,,2825,694,34,0
,,,2825,426,533,0
,,,2825,73,77,0
,,,2825,429,503,0
,,,2825,508,549,0
,,,2825,419,528,0
