Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BABAA,3775,4270,3805,253,256,1
,,,3805,377,229,1
,,,3805,452,209,1
,,,3805,528,181,1
,,,3805,595,152,1
,,,3805,679,125,1
,,,3805,129,198,1
,,,3805,68,211,1
,,,3805,385,414,0
,,,3805,326,143,0
,,,3805,719,274,0
,,,3805,101,393,0
,,,3805,58,282,0
,,,3805,133,72,0
,,,3805,531,28,0
,,,3805,691,297,0
,,,3805,115,267,0
,,,3805,93,247,0
,,,3805,96,231,0
,,,3805,115,228,0
,,,4210,349,384,1
,,,4210,597,381,0
,,,4210,419,161,0
,,,4210,310,538,0
,,,4210,650,216,1
,,,4210,703,198,1
,,,4210,501,285,1
,,,4210,448,432,0
,,,4210,290,239,0
,,,4210,212,375,0
