Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3275,3770,3395,381,216,0
,,,3395,286,191,0
,,,3395,437,315,0
,,,3395,519,112,0
,,,3575,210,195,1
,,,3575,382,247,0
,,,3575,306,95,0
,,,3575,134,285,0
,,,3575,199,327,0
,,,3575,166,259,0
,,,3575,161,158,0
,,,3575,217,330,0
,,,3575,207,219,1
,,,3590,192,211,1
,,,3590,468,102,0
,,,3605,111,203,1
,,,3605,318,221,0
,,,3605,149,446,0
,,,3620,184,355,1
,,,3620,496,408,0
,,,3620,93,525,0
,,,3620,106,163,0
,,,3620,394,67,0
,,,3635,486,122,1
,,,3650,151,308,1
,,,3650,253,158,1
,,,3650,54,79,1
,,,3650,184,500,1
,,,3650,35,495,1
,,,3650,100,541,1
,,,3650,281,500,1
,,,3650,599,441,0
,,,3650,562,97,0
,,,3650,499,460,0
,,,3650,521,302,0
,,,3680,438,199,1
,,,3680,405,368,1
,,,3680,303,383,1
,,,3680,153,274,1
,,,3680,146,150,1
,,,3680,318,54,1
,,,3680,603,31,1
,,,3680,722,408,0
,,,3680,389,541,0
,,,3680,98,465,0
