Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,7550,8045,7715,218,139,1
,,,7715,252,217,1
,,,7715,199,246,1
,,,7715,284,121,1
,,,7715,282,264,1
,,,7715,201,199,1
,,,7715,285,278,1
,,,7715,239,141,1
,,,7715,206,295,1
,,,7715,198,192,1
,,,7715,293,133,1
,,,7715,248,259,1
,,,7715,573,35,0
,,,7715,279,104,0
,,,7715,502,106,0
,,,7715,557,165,0
,,,7715,679,253,0
,,,7715,69,96,0
,,,7715,518,191,0
,,,7715,704,562,0
,,,7715,416,221,0
,,,7715,308,563,0
,,,7715,321,291,0
,,,7715,154,137,0
,,,7775,244,249,1
,,,7775,221,152,1
,,,7775,259,257,1
,,,7775,231,239,1
,,,7775,305,119,1
,,,7775,261,184,1
,,,7775,269,65,1
,,,7775,233,195,1
,,,7775,325,30,1
,,,7775,250,73,1
,,,7775,310,178,1
,,,7775,321,63,1
,,,7775,58,20,0
,,,7775,475,553,0
,,,7775,503,262,0
,,,7775,192,64,0
,,,7775,484,121,0
,,,7775,429,244,0
,,,7775,197,242,0
,,,7775,215,533,0
,,,7775,170,57,0
,,,7775,118,482,0
,,,7775,77,190,0
,,,7775,618,38,0
,,,7805,222,139,1
,,,7805,377,333,1
,,,7805,183,177,1
,,,7805,342,151,1
,,,7805,232,198,1
,,,7805,321,52,1
,,,7805,134,47,1
,,,7805,252,208,1
,,,7805,387,317,1
,,,7805,106,245,1
,,,7805,221,247,1
,,,7805,241,24,1
,,,7805,54,522,0
,,,7805,30,111,0
,,,7805,188,445,0
,,,7805,25,525,0
,,,7805,462,406,0
,,,7805,616,318,0
,,,7805,668,48,0
,,,7805,458,450,0
,,,7805,471,187,0
,,,7805,394,399,0
,,,7805,535,12,0
,,,7805,693,266,0
,,,7865,640,91,1
,,,7865,659,152,1
,,,7865,534,165,1
,,,7865,668,75,1
,,,7865,695,96,1
,,,7865,580,22,1
,,,7865,579,72,1
,,,7865,573,126,1
,,,7865,523,134,1
,,,7865,573,161,1
,,,7865,685,110,1
,,,7865,501,9,1
,,,7865,566,344,0
,,,7865,401,105,0
,,,7865,447,485,0
,,,7865,218,325,0
,,,7865,194,565,0
,,,7865,381,130,0
,,,7865,374,376,0
,,,7865,703,369,0
,,,7865,456,235,0
,,,7865,663,435,0
,,,7865,307,476,0
,,,7865,349,331,0
,,,7895,458,313,1
,,,7895,406,257,1
,,,7895,359,246,1
,,,7895,443,323,1
,,,7895,224,293,1
,,,7895,206,357,1
,,,7895,405,319,1
,,,7895,410,230,1
,,,7895,249,212,1
,,,7895,200,367,1
,,,7895,444,329,1
,,,7895,333,214,1
,,,7895,307,542,0
,,,7895,362,62,0
,,,7895,608,324,0
,,,7895,622,141,0
,,,7895,459,438,0
,,,7895,259,512,0
,,,7895,122,168,0
,,,7895,66,92,0
,,,7895,33,314,0
,,,7895,465,133,0
,,,7895,661,230,0
,,,7895,109,251,0
,,,7925,531,315,1
,,,7925,514,433,1
,,,7925,523,223,1
,,,7925,535,426,1
,,,7925,345,253,1
,,,7925,423,263,1
,,,7925,618,387,1
,,,7925,354,371,1
,,,7925,514,218,1
,,,7925,478,162,1
,,,7925,433,207,1
,,,7925,388,300,1
,,,7925,621,511,0
,,,7925,46,114,0
,,,7925,100,334,0
,,,7925,429,554,0
,,,7925,698,171,0
,,,7925,161,144,0
,,,7925,8,447,0
,,,7925,28,395,0
,,,7925,174,483,0
,,,7925,690,369,0
,,,7925,288,443,0
,,,7925,688,339,0
,,,7940,374,275,1
,,,7940,506,323,1
,,,7940,390,441,1
,,,7940,568,236,1
,,,7940,392,298,1
,,,7940,527,314,1
,,,7940,353,244,1
,,,7940,527,366,1
,,,7940,315,280,1
,,,7940,310,314,1
,,,7940,374,213,1
,,,7940,491,340,1
,,,7940,187,200,0
,,,7940,535,463,0
,,,7940,718,78,0
,,,7940,9,498,0
,,,7940,667,218,0
,,,7940,356,160,0
,,,7940,14,243,0
,,,7940,4,12,0
,,,7940,312,106,0
,,,7940,661,281,0
,,,7940,313,146,0
,,,7940,650,162,0
