Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3400,3895,3400,372,280,0
,,,3400,554,351,0
,,,3400,407,166,0
,,,3400,243,267,0
,,,3400,374,421,0
,,,3400,427,237,0
,,,3400,542,290,0
,,,3400,319,366,0
,,,3400,196,249,0
,,,3400,29,87,0
,,,3400,423,244,0
,,,3400,709,74,0
,,,3400,716,343,0
,,,3460,448,193,0
,,,3460,270,375,0
,,,3460,209,171,0
,,,3460,595,89,0
,,,3460,635,333,0
,,,3625,313,185,0
,,,3625,144,218,0
,,,3625,262,262,0
,,,3625,407,249,0
,,,3625,243,23,0
,,,3625,154,196,0
,,,3655,293,214,1
,,,3655,347,208,0
,,,3655,212,127,0
,,,3655,253,251,0
,,,3655,171,279,0
,,,3655,96,272,0
,,,3655,77,183,0
,,,3655,111,178,0
,,,3655,154,219,0
,,,3715,351,228,1
,,,3715,222,43,0
,,,3715,204,427,0
,,,3715,561,252,0
,,,3715,103,241,0
