Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2175,2670,2460,264,300,1
,,,2460,249,282,1
,,,2460,222,283,1
,,,2460,327,178,1
,,,2460,241,195,1
,,,2460,237,185,1
,,,2460,233,208,1
,,,2460,271,228,1
,,,2460,258,295,1
,,,2460,327,171,1
,,,2460,226,271,1
,,,2460,264,259,1
,,,2460,416,98,0
,,,2460,399,16,0
,,,2460,28,371,0
,,,2460,743,524,0
,,,2460,651,382,0
,,,2460,49,352,0
,,,2460,658,111,0
,,,2460,416,467,0
,,,2460,628,57,0
,,,2460,408,508,0
,,,2460,4,511,0
,,,2460,636,18,0
