Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,6400,6895,6445,599,72,1
,,,6445,562,200,1
,,,6445,311,289,1
,,,6445,457,381,1
,,,6445,337,282,1
,,,6445,568,22,1
,,,6445,543,95,1
,,,6445,314,324,1
,,,6445,286,72,1
,,,6445,350,291,1
,,,6445,372,63,1
,,,6445,596,165,1
,,,6445,344,454,0
,,,6445,199,423,0
,,,6445,617,458,0
,,,6445,257,51,0
,,,6445,713,143,0
,,,6445,235,566,0
,,,6445,184,457,0
,,,6445,254,412,0
,,,6445,52,96,0
,,,6445,703,111,0
,,,6445,242,407,0
,,,6445,189,280,0
,,,6610,586,334,1
,,,6610,282,398,1
,,,6610,326,478,1
,,,6610,253,25,1
,,,6610,442,536,1
,,,6610,545,355,1
,,,6610,610,323,1
,,,6610,326,503,1
,,,6610,461,335,1
,,,6610,416,225,1
,,,6610,257,294,1
,,,6610,489,213,1
,,,6610,157,500,0
,,,6610,293,500,0
,,,6610,701,351,0
,,,6610,242,151,0
,,,6610,223,437,0
,,,6610,2,409,0
,,,6610,114,214,0
,,,6610,688,89,0
,,,6610,33,78,0
,,,6610,41,350,0
,,,6610,651,542,0
,,,6610,106,351,0
,,,6640,233,351,1
,,,6640,336,385,1
,,,6640,520,447,1
,,,6640,426,396,1
,,,6640,582,143,1
,,,6640,325,394,1
,,,6640,238,298,1
,,,6640,372,432,1
,,,6640,381,251,1
,,,6640,472,327,1
,,,6640,426,161,1
,,,6640,419,45,1
,,,6640,687,365,0
,,,6640,567,565,0
,,,6640,183,535,0
,,,6640,220,460,0
,,,6640,590,66,0
,,,6640,252,123,0
,,,6640,240,571,0
,,,6640,413,540,0
,,,6640,78,49,0
,,,6640,158,48,0
,,,6640,222,440,0
,,,6640,221,254,0
,,,6700,551,77,1
,,,6700,692,219,1
,,,6700,468,33,1
,,,6700,360,19,1
,,,6700,699,218,1
,,,6700,630,118,1
,,,6700,512,42,1
,,,6700,393,41,1
,,,6700,682,197,1
,,,6700,482,37,1
,,,6700,452,31,1
,,,6700,698,238,1
,,,6700,208,393,0
,,,6700,651,91,0
,,,6700,259,508,0
,,,6700,508,11,0
,,,6700,506,562,0
,,,6700,6,544,0
,,,6700,263,211,0
,,,6700,528,226,0
,,,6700,350,158,0
,,,6700,520,190,0
,,,6700,423,365,0
,,,6700,473,499,0
,,,6805,524,193,1
,,,6805,473,12,1
,,,6805,456,426,1
,,,6805,242,286,1
,,,6805,580,73,1
,,,6805,383,97,1
,,,6805,319,299,1
,,,6805,456,58,1
,,,6805,372,340,1
,,,6805,395,76,1
,,,6805,606,226,1
,,,6805,305,389,1
,,,6805,668,449,0
,,,6805,14,304,0
,,,6805,711,557,0
,,,6805,695,559,0
,,,6805,98,110,0
,,,6805,410,506,0
,,,6805,95,442,0
,,,6805,538,20,0
,,,6805,9,504,0
,,,6805,35,536,0
,,,6805,260,563,0
,,,6805,142,334,0
,,,6835,366,357,1
,,,6835,466,523,1
,,,6835,501,372,1
,,,6835,636,198,1
,,,6835,367,363,1
,,,6835,402,58,1
,,,6835,509,468,1
,,,6835,489,228,1
,,,6835,585,398,1
,,,6835,463,409,1
,,,6835,298,371,1
,,,6835,459,460,1
,,,6835,100,57,0
,,,6835,675,142,0
,,,6835,87,215,0
,,,6835,157,83,0
,,,6835,244,100,0
,,,6835,702,456,0
,,,6835,645,32,0
,,,6835,717,313,0
,,,6835,45,68,0
,,,6835,32,74,0
,,,6835,74,237,0
,,,6835,141,407,0
