Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,13000,13495,13285,205,343,1
,,,13285,216,242,1
,,,13285,127,351,1
,,,13285,292,134,1
,,,13285,148,40,1
,,,13285,224,36,1
,,,13285,147,332,1
,,,13285,307,376,1
,,,13285,378,352,1
,,,13285,133,396,1
,,,13285,265,384,1
,,,13285,163,141,1
,,,13285,604,197,0
,,,13285,188,503,0
,,,13285,94,6,0
,,,13285,325,547,0
,,,13285,54,306,0
,,,13285,610,417,0
,,,13285,119,465,0
,,,13285,3,299,0
,,,13285,638,322,0
,,,13285,93,503,0
,,,13285,549,567,0
,,,13285,29,572,0
,,,13315,438,110,1
,,,13315,390,131,1
,,,13315,654,97,1
,,,13315,435,59,1
,,,13315,396,144,1
,,,13315,570,318,1
,,,13315,596,88,1
,,,13315,681,32,1
,,,13315,392,307,1
,,,13315,446,247,1
,,,13315,453,276,1
,,,13315,547,213,1
,,,13315,659,568,0
,,,13315,109,441,0
,,,13315,725,500,0
,,,13315,646,517,0
,,,13315,351,533,0
,,,13315,308,55,0
,,,13315,351,106,0
,,,13315,273,299,0
,,,13315,223,337,0
,,,13315,326,414,0
,,,13315,82,258,0
,,,13315,55,150,0
,,,13345,602,18,1
,,,13345,327,55,1
,,,13345,501,6,1
,,,13345,300,126,1
,,,13345,270,78,1
,,,13345,576,80,1
,,,13345,323,78,1
,,,13345,555,81,1
,,,13345,296,67,1
,,,13345,305,128,1
,,,13345,626,47,1
,,,13345,389,120,1
,,,13345,649,160,0
,,,13345,587,255,0
,,,13345,618,112,0
,,,13345,194,288,0
,,,13345,681,186,0
,,,13345,746,448,0
,,,13345,196,98,0
,,,13345,126,477,0
,,,13345,146,313,0
,,,13345,489,159,0
,,,13345,28,487,0
,,,13345,260,542,0
,,,13360,438,145,1
,,,13360,306,229,1
,,,13360,105,241,1
,,,13360,166,173,1
,,,13360,20,126,1
,,,13360,150,146,1
,,,13360,254,282,1
,,,13360,278,265,1
,,,13360,40,203,1
,,,13360,289,57,1
,,,13360,267,251,1
,,,13360,205,265,1
,,,13360,192,420,0
,,,13360,328,542,0
,,,13360,617,257,0
,,,13360,428,251,0
,,,13360,661,441,0
,,,13360,80,329,0
,,,13360,462,264,0
,,,13360,494,486,0
,,,13360,614,473,0
,,,13360,515,477,0
,,,13360,673,56,0
,,,13360,640,63,0
,,,13390,516,401,1
,,,13390,331,372,1
,,,13390,489,510,1
,,,13390,420,304,1
,,,13390,549,567,1
,,,13390,339,406,1
,,,13390,646,573,1
,,,13390,558,266,1
,,,13390,330,341,1
,,,13390,715,348,1
,,,13390,341,317,1
,,,13390,336,478,1
,,,13390,182,52,0
,,,13390,199,75,0
,,,13390,4,510,0
,,,13390,194,223,0
,,,13390,254,192,0
,,,13390,90,371,0
,,,13390,162,162,0
,,,13390,711,169,0
,,,13390,755,510,0
,,,13390,260,459,0
,,,13390,92,118,0
,,,13390,483,127,0
,,,13465,259,331,1
,,,13465,572,342,1
,,,13465,279,222,1
,,,13465,428,292,1
,,,13465,497,217,1
,,,13465,320,38,1
,,,13465,476,119,1
,,,13465,234,344,1
,,,13465,484,307,1
,,,13465,408,389,1
,,,13465,569,149,1
,,,13465,557,355,1
,,,13465,326,568,0
,,,13465,23,165,0
,,,13465,744,569,0
,,,13465,690,491,0
,,,13465,714,508,0
,,,13465,120,491,0
,,,13465,189,333,0
,,,13465,744,110,0
,,,13465,255,569,0
,,,13465,699,224,0
,,,13465,542,515,0
,,,13465,158,260,0
,,,13495,623,175,1
,,,13495,274,99,1
,,,13495,375,423,1
,,,13495,352,432,1
,,,13495,509,30,1
,,,13495,270,172,1
,,,13495,303,265,1
,,,13495,587,84,1
,,,13495,397,283,1
,,,13495,477,200,1
,,,13495,460,122,1
,,,13495,326,305,1
,,,13495,226,544,0
,,,13495,627,480,0
,,,13495,107,338,0
,,,13495,85,422,0
,,,13495,284,575,0
,,,13495,708,483,0
,,,13495,754,212,0
,,,13495,66,131,0
,,,13495,29,286,0
,,,13495,3,76,0
,,,13495,54,196,0
,,,13495,690,89,0
