Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,10230,11160,10410,291,216,1
,,,10410,349,312,1
,,,10410,339,338,1
,,,10410,399,409,0
,,,10410,450,143,0
,,,10410,204,76,0
,,,10410,172,350,0
,,,10425,172,216,1
,,,10425,172,216,1
,,,10425,172,216,1
,,,10425,172,216,1
,,,10635,616,236,1
,,,10635,648,136,1
,,,10635,649,152,1
,,,10635,608,147,1
,,,10635,611,112,1
,,,10635,655,249,1
,,,10635,618,238,1
,,,10635,644,120,1
,,,10635,664,212,1
,,,10635,619,161,1
,,,10635,629,136,1
,,,10635,642,191,1
,,,10635,498,207,0
,,,10635,413,25,0
,,,10635,747,94,0
,,,10635,74,57,0
,,,10635,81,157,0
,,,10635,335,388,0
,,,10635,719,173,0
,,,10635,460,462,0
,,,10635,599,431,0
,,,10635,163,408,0
,,,10635,21,250,0
,,,10635,451,93,0
,,,10665,562,230,1
,,,10665,502,214,1
,,,10665,508,265,1
,,,10665,539,231,1
,,,10665,511,261,1
,,,10665,541,293,1
,,,10665,559,328,1
,,,10665,520,288,1
,,,10665,510,236,1
,,,10665,584,256,1
,,,10665,562,319,1
,,,10665,552,218,1
,,,10665,203,385,0
,,,10665,416,217,0
,,,10665,240,21,0
,,,10665,668,342,0
,,,10665,360,557,0
,,,10665,492,0,0
,,,10665,381,501,0
,,,10665,52,159,0
,,,10665,465,27,0
,,,10665,323,496,0
,,,10665,405,236,0
,,,10665,42,248,0
,,,10770,353,267,1
,,,10770,317,195,1
,,,10770,61,482,1
,,,10770,191,225,1
,,,10770,269,345,1
,,,10770,421,394,1
,,,10770,486,203,1
,,,10770,169,451,1
,,,10770,265,339,1
,,,10770,51,96,1
,,,10770,79,389,1
,,,10770,177,105,1
,,,10770,618,336,0
,,,10770,701,105,0
,,,10770,662,300,0
,,,10770,486,540,0
,,,10770,670,44,0
,,,10770,574,237,0
,,,10770,757,561,0
,,,10770,765,406,0
,,,10770,642,490,0
,,,10770,765,463,0
,,,10770,488,506,0
,,,10770,625,204,0
