Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,12925,13420,13105,551,295,1
,,,13105,554,165,1
,,,13105,579,194,1
,,,13105,586,243,1
,,,13105,551,200,1
,,,13105,554,163,1
,,,13105,589,213,1
,,,13105,576,241,1
,,,13105,553,175,1
,,,13105,558,201,1
,,,13105,573,223,1
,,,13105,583,257,1
,,,13105,414,62,0
,,,13105,713,533,0
,,,13105,343,384,0
,,,13105,76,304,0
,,,13105,646,321,0
,,,13105,22,237,0
,,,13105,38,435,0
,,,13105,489,202,0
,,,13105,631,424,0
,,,13105,120,365,0
,,,13105,505,146,0
,,,13105,671,162,0
,,,13120,580,258,1
,,,13120,564,172,1
,,,13120,583,215,1
,,,13120,578,242,1
,,,13120,603,217,1
,,,13120,590,192,1
,,,13120,578,184,1
,,,13120,576,315,1
,,,13120,572,304,1
,,,13120,580,203,1
,,,13120,562,147,1
,,,13120,570,225,1
,,,13120,615,476,0
,,,13120,646,543,0
,,,13120,2,77,0
,,,13120,320,524,0
,,,13120,450,298,0
,,,13120,493,129,0
,,,13120,483,378,0
,,,13120,288,379,0
,,,13120,274,538,0
,,,13120,503,482,0
,,,13120,171,258,0
,,,13120,705,205,0
,,,13165,664,132,1
,,,13165,670,280,1
,,,13165,660,327,1
,,,13165,627,198,1
,,,13165,668,210,1
,,,13165,698,270,1
,,,13165,639,250,1
,,,13165,657,315,1
,,,13165,640,256,1
,,,13165,646,300,1
,,,13165,660,191,1
,,,13165,645,180,1
,,,13165,739,185,0
,,,13165,151,267,0
,,,13165,162,524,0
,,,13165,139,125,0
,,,13165,88,307,0
,,,13165,177,545,0
,,,13165,373,231,0
,,,13165,414,95,0
,,,13165,581,123,0
,,,13165,376,120,0
,,,13165,673,491,0
,,,13165,225,135,0
