Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2075,2570,2165,614,310,1
,,,2165,586,325,1
,,,2165,547,315,1
,,,2165,622,318,1
,,,2165,556,320,1
,,,2165,609,324,1
,,,2165,534,317,1
,,,2165,515,310,1
,,,2165,617,320,1
,,,2165,515,311,1
,,,2165,522,316,1
,,,2165,539,316,1
,,,2165,690,311,0
,,,2165,177,466,0
,,,2165,523,234,0
,,,2165,277,135,0
,,,2165,197,393,0
,,,2165,671,9,0
,,,2165,515,179,0
,,,2165,44,128,0
,,,2165,231,512,0
,,,2165,53,131,0
,,,2165,675,480,0
,,,2165,565,384,0
,,,2375,280,242,1
,,,2375,327,124,1
,,,2375,298,223,1
,,,2375,307,194,1
,,,2375,338,167,1
,,,2375,277,214,1
,,,2375,271,236,1
,,,2375,309,176,1
,,,2375,269,262,1
,,,2375,314,165,1
,,,2375,323,161,1
,,,2375,316,161,1
,,,2375,746,141,0
,,,2375,675,99,0
,,,2375,321,331,0
,,,2375,404,121,0
,,,2375,432,488,0
,,,2375,38,571,0
,,,2375,37,103,0
,,,2375,625,235,0
,,,2375,632,506,0
,,,2375,488,150,0
,,,2375,584,260,0
,,,2375,551,9,0
,,,2450,150,194,1
,,,2450,289,209,1
,,,2450,373,262,1
,,,2450,343,418,1
,,,2450,433,464,1
,,,2450,283,518,1
,,,2450,144,522,1
,,,2450,145,487,1
,,,2450,161,335,1
,,,2450,451,556,1
,,,2450,97,445,1
,,,2450,247,421,1
,,,2450,696,19,0
,,,2450,37,140,0
,,,2450,695,203,0
,,,2450,211,28,0
,,,2450,657,420,0
,,,2450,718,360,0
,,,2450,618,67,0
,,,2450,316,63,0
,,,2450,303,36,0
,,,2450,568,443,0
,,,2450,41,179,0
,,,2450,127,84,0
