Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2700,3195,2880,120,137,1
,,,2880,97,14,1
,,,2880,50,91,1
,,,2880,108,190,1
,,,2880,83,61,1
,,,2880,75,186,1
,,,2880,48,116,1
,,,2880,142,133,1
,,,2880,93,186,1
,,,2880,64,171,1
,,,2880,133,108,1
,,,2880,46,234,1
,,,2880,236,434,0
,,,2880,554,114,0
,,,2880,551,173,0
,,,2880,487,535,0
,,,2880,689,136,0
,,,2880,575,415,0
,,,2880,529,418,0
,,,2880,579,120,0
,,,2880,732,136,0
,,,2880,380,196,0
,,,2880,494,50,0
,,,2880,381,489,0
,,,3090,218,310,1
,,,3090,267,24,1
,,,3090,398,126,1
,,,3090,139,260,1
,,,3090,574,108,1
,,,3090,143,443,1
,,,3090,184,434,1
,,,3090,432,76,1
,,,3090,357,286,1
,,,3090,487,246,1
,,,3090,321,260,1
,,,3090,25,81,1
,,,3090,306,504,0
,,,3090,702,385,0
,,,3090,579,157,0
,,,3090,131,484,0
,,,3090,649,334,0
,,,3090,161,567,0
,,,3090,751,316,0
,,,3090,664,205,0
,,,3090,712,345,0
,,,3090,732,364,0
,,,3090,50,560,0
,,,3090,336,488,0
,,,3105,515,188,1
,,,3105,394,322,1
,,,3105,682,178,1
,,,3105,586,275,1
,,,3105,357,32,1
,,,3105,666,98,1
,,,3105,347,345,1
,,,3105,257,87,1
,,,3105,184,31,1
,,,3105,415,97,1
,,,3105,469,30,1
,,,3105,314,376,1
,,,3105,159,113,0
,,,3105,53,413,0
,,,3105,744,462,0
,,,3105,696,369,0
,,,3105,296,472,0
,,,3105,125,395,0
,,,3105,45,265,0
,,,3105,210,525,0
,,,3105,92,537,0
,,,3105,258,484,0
,,,3105,690,425,0
,,,3105,311,491,0
