Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,19050,19545,19065,631,432,1
,,,19065,659,37,1
,,,19065,631,336,1
,,,19065,653,49,1
,,,19065,725,169,1
,,,19065,686,127,1
,,,19065,607,33,1
,,,19065,760,446,1
,,,19065,686,290,1
,,,19065,686,441,1
,,,19065,626,144,1
,,,19065,595,301,1
,,,19065,127,364,0
,,,19065,304,72,0
,,,19065,448,521,0
,,,19065,250,110,0
,,,19065,109,284,0
,,,19065,415,61,0
,,,19065,546,463,0
,,,19065,3,501,0
,,,19065,332,17,0
,,,19065,355,440,0
,,,19065,113,373,0
,,,19065,408,158,0
