Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2500,2995,2560,526,211,1
,,,2560,493,225,1
,,,2560,504,211,1
,,,2560,512,273,1
,,,2560,478,134,1
,,,2560,519,242,1
,,,2560,517,240,1
,,,2560,515,191,1
,,,2560,509,178,1
,,,2560,507,204,1
,,,2560,513,254,1
,,,2560,482,287,1
,,,2560,487,536,0
,,,2560,195,140,0
,,,2560,690,28,0
,,,2560,317,331,0
,,,2560,554,536,0
,,,2560,449,230,0
,,,2560,336,42,0
,,,2560,188,54,0
,,,2560,114,162,0
,,,2560,556,462,0
,,,2560,566,124,0
,,,2560,129,137,0
,,,2590,551,226,1
,,,2590,600,252,1
,,,2590,555,124,1
,,,2590,583,222,1
,,,2590,545,239,1
,,,2590,528,323,1
,,,2590,580,268,1
,,,2590,570,294,1
,,,2590,520,335,1
,,,2590,565,273,1
,,,2590,585,210,1
,,,2590,525,176,1
,,,2590,346,567,0
,,,2590,26,235,0
,,,2590,597,560,0
,,,2590,638,143,0
,,,2590,390,330,0
,,,2590,219,38,0
,,,2590,221,341,0
,,,2590,414,237,0
,,,2590,28,503,0
,,,2590,475,140,0
,,,2590,246,255,0
,,,2590,87,103,0
,,,2605,650,168,1
,,,2605,590,364,1
,,,2605,626,177,1
,,,2605,604,142,1
,,,2605,594,206,1
,,,2605,564,110,1
,,,2605,610,194,1
,,,2605,556,123,1
,,,2605,646,237,1
,,,2605,543,174,1
,,,2605,571,206,1
,,,2605,539,327,1
,,,2605,460,444,0
,,,2605,229,38,0
,,,2605,363,398,0
,,,2605,351,259,0
,,,2605,69,374,0
,,,2605,720,244,0
,,,2605,1,61,0
,,,2605,127,307,0
,,,2605,537,37,0
,,,2605,486,118,0
,,,2605,710,350,0
,,,2605,708,393,0
,,,2620,661,50,1
,,,2620,564,46,1
,,,2620,619,58,1
,,,2620,695,345,1
,,,2620,560,48,1
,,,2620,719,215,1
,,,2620,593,263,1
,,,2620,736,222,1
,,,2620,662,122,1
,,,2620,610,45,1
,,,2620,674,237,1
,,,2620,691,85,1
,,,2620,760,133,0
,,,2620,457,56,0
,,,2620,138,563,0
,,,2620,470,257,0
,,,2620,251,191,0
,,,2620,176,268,0
,,,2620,89,153,0
,,,2620,349,474,0
,,,2620,170,444,0
,,,2620,503,541,0
,,,2620,146,300,0
,,,2620,218,262,0
,,,2860,616,239,1
,,,2860,343,89,1
,,,2860,433,358,1
,,,2860,324,74,1
,,,2860,233,11,1
,,,2860,760,2,1
,,,2860,487,14,1
,,,2860,607,357,1
,,,2860,329,108,1
,,,2860,498,374,1
,,,2860,372,196,1
,,,2860,272,175,1
,,,2860,171,85,0
,,,2860,703,565,0
,,,2860,94,370,0
,,,2860,703,451,0
,,,2860,743,344,0
,,,2860,284,545,0
,,,2860,170,102,0
,,,2860,344,552,0
,,,2860,138,400,0
,,,2860,147,541,0
,,,2860,619,465,0
,,,2860,75,71,0
,,,2875,185,368,1
,,,2875,485,379,1
,,,2875,452,327,1
,,,2875,217,299,1
,,,2875,466,418,1
,,,2875,342,201,1
,,,2875,384,448,1
,,,2875,198,418,1
,,,2875,251,344,1
,,,2875,619,222,1
,,,2875,528,91,1
,,,2875,381,311,1
,,,2875,74,505,0
,,,2875,220,4,0
,,,2875,99,72,0
,,,2875,9,425,0
,,,2875,702,337,0
,,,2875,77,233,0
,,,2875,68,273,0
,,,2875,443,0,0
,,,2875,2,467,0
,,,2875,104,339,0
,,,2875,672,540,0
,,,2875,22,40,0
,,,2935,282,325,1
,,,2935,498,335,1
,,,2935,492,65,1
,,,2935,527,296,1
,,,2935,106,199,1
,,,2935,415,203,1
,,,2935,250,479,1
,,,2935,550,261,1
,,,2935,205,272,1
,,,2935,281,371,1
,,,2935,338,500,1
,,,2935,167,140,1
,,,2935,575,81,0
,,,2935,675,62,0
,,,2935,11,566,0
,,,2935,201,568,0
,,,2935,659,208,0
,,,2935,65,319,0
,,,2935,625,289,0
,,,2935,738,13,0
,,,2935,671,335,0
,,,2935,696,523,0
,,,2935,668,274,0
,,,2935,474,513,0
