Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,9950,10445,10205,142,290,1
,,,10205,126,385,1
,,,10205,113,254,1
,,,10205,134,433,1
,,,10205,142,260,1
,,,10205,90,301,1
,,,10205,138,317,1
,,,10205,129,430,1
,,,10205,148,428,1
,,,10205,157,290,1
,,,10205,104,375,1
,,,10205,152,235,1
,,,10205,21,385,0
,,,10205,225,392,0
,,,10205,417,293,0
,,,10205,297,480,0
,,,10205,704,171,0
,,,10205,223,546,0
,,,10205,421,117,0
,,,10205,276,442,0
,,,10205,313,16,0
,,,10205,453,299,0
,,,10205,485,478,0
,,,10205,510,98,0
,,,10265,264,381,1
,,,10265,221,288,1
,,,10265,244,372,1
,,,10265,311,200,1
,,,10265,269,156,1
,,,10265,370,226,1
,,,10265,257,372,1
,,,10265,285,135,1
,,,10265,360,136,1
,,,10265,318,329,1
,,,10265,300,265,1
,,,10265,258,227,1
,,,10265,69,535,0
,,,10265,277,546,0
,,,10265,292,445,0
,,,10265,666,525,0
,,,10265,534,528,0
,,,10265,580,265,0
,,,10265,435,144,0
,,,10265,710,307,0
,,,10265,74,115,0
,,,10265,654,235,0
,,,10265,172,188,0
,,,10265,330,552,0
,,,10415,324,204,1
,,,10415,391,331,1
,,,10415,305,153,1
,,,10415,462,256,1
,,,10415,441,229,1
,,,10415,286,299,1
,,,10415,330,373,1
,,,10415,244,398,1
,,,10415,440,289,1
,,,10415,315,289,1
,,,10415,277,309,1
,,,10415,239,353,1
,,,10415,515,122,0
,,,10415,488,461,0
,,,10415,307,568,0
,,,10415,42,18,0
,,,10415,136,500,0
,,,10415,618,205,0
,,,10415,127,213,0
,,,10415,399,495,0
,,,10415,426,510,0
,,,10415,388,508,0
,,,10415,682,318,0
,,,10415,459,142,0
,,,10430,411,225,1
,,,10430,457,209,1
,,,10430,287,331,1
,,,10430,257,391,1
,,,10430,350,310,1
,,,10430,319,394,1
,,,10430,266,198,1
,,,10430,242,228,1
,,,10430,297,161,1
,,,10430,247,343,1
,,,10430,281,192,1
,,,10430,270,273,1
,,,10430,301,59,0
,,,10430,667,78,0
,,,10430,1,111,0
,,,10430,42,270,0
,,,10430,564,521,0
,,,10430,176,143,0
,,,10430,524,419,0
,,,10430,462,417,0
,,,10430,133,133,0
,,,10430,384,52,0
,,,10430,698,339,0
,,,10430,88,158,0
,,,10445,363,135,1
,,,10445,225,401,1
,,,10445,253,298,1
,,,10445,230,403,1
,,,10445,230,172,1
,,,10445,232,342,1
,,,10445,403,166,1
,,,10445,434,292,1
,,,10445,424,333,1
,,,10445,172,310,1
,,,10445,252,147,1
,,,10445,244,357,1
,,,10445,232,412,0
,,,10445,292,20,0
,,,10445,3,515,0
,,,10445,319,485,0
,,,10445,264,565,0
,,,10445,81,47,0
,,,10445,209,35,0
,,,10445,198,559,0
,,,10445,71,90,0
,,,10445,47,128,0
,,,10445,548,106,0
,,,10445,484,203,0
