Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BABAA,2825,3550,2975,53,371,1
,,,2975,112,293,1
,,,2975,278,423,1
,,,2975,369,344,1
,,,2975,498,281,0
,,,2975,318,242,0
,,,2975,24,296,0
,,,2975,33,457,0
,,,2975,52,234,0
,,,2975,199,374,0
,,,2975,176,513,0
,,,2975,448,446,0
,,,2975,166,236,1
,,,2975,219,222,1
,,,2975,134,408,1
,,,2975,155,454,1
,,,2975,183,423,0
,,,2975,98,479,0
,,,2975,110,220,0
,,,2975,194,101,0
,,,2975,333,92,0
,,,2975,482,151,0
,,,2975,527,276,0
,,,2975,555,358,0
,,,2975,586,484,0
,,,3275,292,138,1
,,,3275,323,141,0
,,,3275,398,47,1
,,,3275,429,19,1
,,,3275,403,135,0
,,,3275,307,33,0
,,,3275,490,47,0
,,,3275,262,214,0
,,,3275,189,117,0
