Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,6375,6870,6435,518,219,1
,,,6435,569,327,0
,,,6435,397,160,0
,,,6435,504,52,0
,,,6435,415,297,0
,,,6435,493,161,1
,,,6435,511,285,1
,,,6585,686,196,1
,,,6585,722,454,1
,,,6585,280,178,0
,,,6585,377,444,0
,,,6630,453,173,1
,,,6630,675,474,0
,,,6630,749,211,0
,,,6630,610,54,1
,,,6630,128,360,1
,,,6630,82,518,1
,,,6630,49,327,1
,,,6630,70,54,1
,,,6630,488,36,1
,,,6630,333,368,1
,,,6630,504,548,0
,,,6645,415,185,1
,,,6645,755,472,0
,,,6690,298,323,1
,,,6690,590,221,1
,,,6690,714,546,0
