Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,600,1095,1035,418,256,1
,,,1035,555,125,1
,,,1035,489,297,1
,,,1035,315,263,1
,,,1035,392,340,1
,,,1035,437,162,1
,,,1035,581,211,1
,,,1035,488,105,1
,,,1035,566,268,1
,,,1035,403,196,1
,,,1035,548,179,1
,,,1035,599,87,1
,,,1035,424,458,0
,,,1035,626,496,0
,,,1035,215,308,0
,,,1035,146,370,0
,,,1035,177,354,0
,,,1035,660,532,0
,,,1035,747,294,0
,,,1035,238,265,0
,,,1035,226,265,0
,,,1035,271,318,0
,,,1035,137,504,0
,,,1035,581,461,0
,,,1050,642,117,1
,,,1050,536,393,1
,,,1050,407,96,1
,,,1050,669,221,1
,,,1050,514,98,1
,,,1050,665,29,1
,,,1050,377,339,1
,,,1050,562,364,1
,,,1050,639,159,1
,,,1050,294,242,1
,,,1050,573,288,1
,,,1050,380,90,1
,,,1050,385,24,0
,,,1050,127,523,0
,,,1050,416,394,0
,,,1050,115,138,0
,,,1050,16,168,0
,,,1050,346,522,0
,,,1050,328,533,0
,,,1050,23,308,0
,,,1050,376,404,0
,,,1050,346,573,0
,,,1050,494,564,0
,,,1050,15,9,0
,,,915,323,312,1
,,,915,671,143,1
,,,915,600,127,1
,,,915,464,100,1
,,,915,459,223,1
,,,915,553,121,1
,,,915,511,393,1
,,,915,600,242,1
,,,915,399,254,1
,,,915,551,245,1
,,,915,493,83,1
,,,915,497,32,1
,,,915,760,490,0
,,,915,573,479,0
,,,915,692,391,0
,,,915,693,155,0
,,,915,415,520,0
,,,915,360,398,0
,,,915,410,12,0
,,,915,608,535,0
,,,915,1,297,0
,,,915,286,398,0
,,,915,101,300,0
,,,915,687,78,0
,,,945,411,268,1
,,,945,420,22,1
,,,945,323,106,1
,,,945,470,19,1
,,,945,527,130,1
,,,945,450,266,1
,,,945,522,388,1
,,,945,484,150,1
,,,945,521,233,1
,,,945,560,311,1
,,,945,479,371,1
,,,945,508,90,1
,,,945,332,60,0
,,,945,137,532,0
,,,945,434,3,0
,,,945,99,329,0
,,,945,641,426,0
,,,945,423,464,0
,,,945,65,256,0
,,,945,115,231,0
,,,945,237,298,0
,,,945,5,179,0
,,,945,720,135,0
,,,945,451,531,0
,,,990,622,102,1
,,,990,563,23,1
,,,990,456,43,1
,,,990,380,242,1
,,,990,482,77,1
,,,990,366,78,1
,,,990,391,213,1
,,,990,464,36,1
,,,990,662,297,1
,,,990,453,111,1
,,,990,336,154,1
,,,990,499,353,1
,,,990,71,374,0
,,,990,95,356,0
,,,990,191,350,0
,,,990,143,235,0
,,,990,733,356,0
,,,990,439,441,0
,,,990,595,514,0
,,,990,662,411,0
,,,990,273,96,0
,,,990,720,114,0
,,,990,673,392,0
,,,990,255,494,0
