Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,700,1195,790,118,143,1
,,,790,116,130,1
,,,790,93,171,1
,,,790,72,188,1
,,,790,220,158,0
,,,790,57,38,0
,,,790,39,267,0
,,,790,128,280,0
,,,865,262,74,1
,,,865,205,109,1
,,,865,174,165,1
,,,865,182,216,1
,,,865,171,234,1
,,,865,229,185,1
,,,865,194,244,1
,,,865,174,343,0
,,,865,88,188,0
,,,865,468,31,0
,,,865,433,244,0
,,,865,159,168,1
,,,865,243,99,1
,,,1000,148,90,1
,,,1000,116,196,1
,,,1000,103,224,1
,,,1000,83,244,1
,,,1000,179,361,0
,,,1000,452,157,0
,,,1000,44,31,0
,,,1105,281,229,1
,,,1105,392,133,1
,,,1105,158,84,1
,,,1105,75,74,1
,,,1105,52,46,1
,,,1105,24,147,1
,,,1105,528,132,0
,,,1105,537,502,0
,,,1105,131,502,0
,,,1105,6,34,1
