Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,5625,6120,5655,685,510,1
,,,5655,284,103,1
,,,5655,573,519,1
,,,5655,463,35,1
,,,5655,137,175,1
,,,5655,440,203,1
,,,5655,556,401,1
,,,5655,552,462,1
,,,5655,653,97,1
,,,5655,232,5,1
,,,5655,708,472,1
,,,5655,242,292,1
,,,5655,193,431,0
,,,5655,262,484,0
,,,5655,734,531,0
,,,5655,146,519,0
,,,5655,532,575,0
,,,5655,10,143,0
,,,5655,248,559,0
,,,5655,308,473,0
,,,5655,261,467,0
,,,5655,242,555,0
,,,5655,40,110,0
,,,5655,325,467,0
,,,5670,215,423,1
,,,5670,261,428,1
,,,5670,512,381,1
,,,5670,438,321,1
,,,5670,369,221,1
,,,5670,335,372,1
,,,5670,413,5,1
,,,5670,344,358,1
,,,5670,345,234,1
,,,5670,399,95,1
,,,5670,692,46,1
,,,5670,518,448,1
,,,5670,560,562,0
,,,5670,32,30,0
,,,5670,139,494,0
,,,5670,18,393,0
,,,5670,0,61,0
,,,5670,70,318,0
,,,5670,23,428,0
,,,5670,699,531,0
,,,5670,298,532,0
,,,5670,17,390,0
,,,5670,277,490,0
,,,5670,20,301,0
,,,5715,275,34,1
,,,5715,105,292,1
,,,5715,143,39,1
,,,5715,441,340,1
,,,5715,410,90,1
,,,5715,340,13,1
,,,5715,720,78,1
,,,5715,590,211,1
,,,5715,443,164,1
,,,5715,80,10,1
,,,5715,533,21,1
,,,5715,202,28,1
,,,5715,355,566,0
,,,5715,170,546,0
,,,5715,425,482,0
,,,5715,98,315,0
,,,5715,7,571,0
,,,5715,162,544,0
,,,5715,22,397,0
,,,5715,684,560,0
,,,5715,163,554,0
,,,5715,0,84,0
,,,5715,13,364,0
,,,5715,737,521,0
,,,5760,540,242,1
,,,5760,143,125,1
,,,5760,45,218,1
,,,5760,428,135,1
,,,5760,92,105,1
,,,5760,592,82,1
,,,5760,254,216,1
,,,5760,245,94,1
,,,5760,103,137,1
,,,5760,671,85,1
,,,5760,697,247,1
,,,5760,482,192,1
,,,5760,88,423,0
,,,5760,107,442,0
,,,5760,192,454,0
,,,5760,64,494,0
,,,5760,12,345,0
,,,5760,546,558,0
,,,5760,29,348,0
,,,5760,108,400,0
,,,5760,168,502,0
,,,5760,106,532,0
,,,5760,198,522,0
,,,5760,66,410,0
