Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,9725,10220,10010,154,276,1
,,,10010,171,297,1
,,,10010,217,207,1
,,,10010,192,149,1
,,,10010,196,365,1
,,,10010,147,212,1
,,,10010,201,175,1
,,,10010,204,231,1
,,,10010,215,370,1
,,,10010,181,320,1
,,,10010,218,198,1
,,,10010,217,172,1
,,,10010,650,68,0
,,,10010,234,562,0
,,,10010,350,445,0
,,,10010,39,289,0
,,,10010,324,504,0
,,,10010,4,249,0
,,,10010,328,114,0
,,,10010,597,266,0
,,,10010,669,164,0
,,,10010,691,260,0
,,,10010,384,300,0
,,,10010,236,288,0
,,,10025,176,341,1
,,,10025,132,347,1
,,,10025,178,103,1
,,,10025,146,303,1
,,,10025,129,139,1
,,,10025,124,297,1
,,,10025,187,146,1
,,,10025,196,297,1
,,,10025,174,201,1
,,,10025,193,400,1
,,,10025,97,198,1
,,,10025,177,247,1
,,,10025,595,148,0
,,,10025,694,515,0
,,,10025,598,135,0
,,,10025,342,260,0
,,,10025,615,253,0
,,,10025,754,465,0
,,,10025,498,37,0
,,,10025,714,285,0
,,,10025,661,43,0
,,,10025,70,561,0
,,,10025,125,493,0
,,,10025,514,460,0
,,,10160,187,353,1
,,,10160,54,356,1
,,,10160,142,147,1
,,,10160,243,167,1
,,,10160,368,409,1
,,,10160,408,331,1
,,,10160,30,108,1
,,,10160,147,325,1
,,,10160,309,384,1
,,,10160,379,243,1
,,,10160,117,79,1
,,,10160,376,70,1
,,,10160,486,93,0
,,,10160,562,98,0
,,,10160,718,167,0
,,,10160,418,530,0
,,,10160,237,561,0
,,,10160,166,53,0
,,,10160,748,244,0
,,,10160,572,329,0
,,,10160,740,371,0
,,,10160,638,458,0
,,,10160,738,67,0
,,,10160,585,13,0
