Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3275,3770,3335,735,28,1
,,,3335,749,145,1
,,,3335,730,147,1
,,,3335,760,44,1
,,,3335,746,172,1
,,,3335,745,248,1
,,,3335,767,17,1
,,,3335,734,241,1
,,,3335,754,26,1
,,,3335,745,16,1
,,,3335,721,89,1
,,,3335,716,150,1
,,,3335,80,548,0
,,,3335,6,115,0
,,,3335,363,342,0
,,,3335,496,526,0
,,,3335,634,147,0
,,,3335,487,370,0
,,,3335,355,63,0
,,,3335,373,452,0
,,,3335,301,297,0
,,,3335,86,280,0
,,,3335,339,230,0
,,,3335,149,230,0
