Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,32375,32870,32390,666,416,1
,,,32390,699,297,1
,,,32390,619,276,1
,,,32390,628,185,1
,,,32390,688,260,1
,,,32390,436,205,1
,,,32390,570,422,1
,,,32390,636,315,1
,,,32390,661,561,1
,,,32390,588,362,1
,,,32390,490,123,1
,,,32390,399,323,1
,,,32390,1,275,0
,,,32390,204,138,0
,,,32390,208,456,0
,,,32390,182,126,0
,,,32390,117,18,0
,,,32390,460,71,0
,,,32390,129,250,0
,,,32390,39,61,0
,,,32390,77,243,0
,,,32390,72,180,0
,,,32390,325,431,0
,,,32390,226,343,0
,,,32690,458,194,1
,,,32690,457,490,1
,,,32690,650,192,1
,,,32690,490,156,1
,,,32690,524,143,1
,,,32690,345,359,1
,,,32690,508,64,1
,,,32690,591,234,1
,,,32690,608,217,1
,,,32690,444,276,1
,,,32690,603,15,1
,,,32690,414,191,1
,,,32690,413,161,0
,,,32690,492,534,0
,,,32690,241,162,0
,,,32690,262,541,0
,,,32690,141,371,0
,,,32690,631,448,0
,,,32690,16,85,0
,,,32690,656,519,0
,,,32690,92,30,0
,,,32690,219,450,0
,,,32690,101,367,0
,,,32690,35,215,0
,,,32705,431,77,1
,,,32705,470,409,1
,,,32705,396,198,1
,,,32705,402,467,1
,,,32705,418,309,1
,,,32705,612,464,1
,,,32705,301,179,1
,,,32705,714,177,1
,,,32705,591,179,1
,,,32705,560,229,1
,,,32705,638,164,1
,,,32705,394,58,1
,,,32705,260,525,0
,,,32705,88,411,0
,,,32705,289,181,0
,,,32705,366,574,0
,,,32705,16,76,0
,,,32705,280,484,0
,,,32705,301,545,0
,,,32705,51,78,0
,,,32705,269,545,0
,,,32705,226,149,0
,,,32705,255,459,0
,,,32705,624,518,0
,,,32780,691,295,1
,,,32780,673,323,1
,,,32780,713,345,1
,,,32780,649,225,1
,,,32780,644,486,1
,,,32780,634,248,1
,,,32780,671,271,1
,,,32780,671,300,1
,,,32780,629,138,1
,,,32780,708,184,1
,,,32780,648,401,1
,,,32780,695,306,1
,,,32780,449,501,0
,,,32780,517,509,0
,,,32780,537,32,0
,,,32780,260,278,0
,,,32780,437,4,0
,,,32780,62,420,0
,,,32780,630,506,0
,,,32780,658,11,0
,,,32780,314,189,0
,,,32780,417,196,0
,,,32780,249,521,0
,,,32780,433,78,0
,,,32810,493,426,1
,,,32810,485,474,1
,,,32810,469,187,1
,,,32810,481,293,1
,,,32810,522,450,1
,,,32810,530,494,1
,,,32810,515,374,1
,,,32810,475,441,1
,,,32810,568,280,1
,,,32810,535,412,1
,,,32810,585,372,1
,,,32810,527,255,1
,,,32810,578,175,0
,,,32810,556,521,0
,,,32810,31,571,0
,,,32810,577,58,0
,,,32810,123,348,0
,,,32810,451,19,0
,,,32810,337,114,0
,,,32810,365,304,0
,,,32810,107,159,0
,,,32810,517,66,0
,,,32810,354,564,0
,,,32810,97,317,0
