Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2625,3120,2760,393,214,1
,,,2760,419,226,1
,,,2760,388,213,1
,,,2760,409,219,1
,,,2760,431,225,1
,,,2760,375,218,1
,,,2760,397,223,1
,,,2760,416,215,1
,,,2760,390,204,1
,,,2760,402,222,1
,,,2760,392,214,1
,,,2760,425,210,1
,,,2760,668,546,0
,,,2760,341,117,0
,,,2760,737,396,0
,,,2760,604,247,0
,,,2760,649,523,0
,,,2760,364,322,0
,,,2760,672,232,0
,,,2760,724,415,0
,,,2760,389,189,0
,,,2760,66,84,0
,,,2760,622,271,0
,,,2760,742,564,0
,,,2775,408,211,1
,,,2775,375,217,1
,,,2775,426,211,1
,,,2775,387,209,1
,,,2775,389,206,1
,,,2775,392,210,1
,,,2775,376,219,1
,,,2775,399,210,1
,,,2775,417,204,1
,,,2775,378,221,1
,,,2775,420,212,1
,,,2775,434,215,1
,,,2775,433,88,0
,,,2775,77,343,0
,,,2775,88,418,0
,,,2775,463,148,0
,,,2775,711,512,0
,,,2775,673,458,0
,,,2775,531,280,0
,,,2775,200,180,0
,,,2775,318,298,0
,,,2775,727,134,0
,,,2775,9,484,0
,,,2775,279,193,0
,,,2805,383,197,1
,,,2805,420,202,1
,,,2805,423,197,1
,,,2805,438,205,1
,,,2805,390,195,1
,,,2805,380,206,1
,,,2805,407,202,1
,,,2805,430,199,1
,,,2805,377,201,1
,,,2805,379,196,1
,,,2805,361,198,1
,,,2805,366,198,1
,,,2805,497,402,0
,,,2805,108,314,0
,,,2805,529,234,0
,,,2805,134,3,0
,,,2805,551,252,0
,,,2805,298,411,0
,,,2805,46,97,0
,,,2805,57,297,0
,,,2805,651,412,0
,,,2805,553,370,0
,,,2805,645,6,0
,,,2805,132,455,0
,,,2850,375,184,1
,,,2850,394,162,1
,,,2850,439,188,1
,,,2850,406,187,1
,,,2850,442,175,1
,,,2850,371,182,1
,,,2850,409,172,1
,,,2850,397,184,1
,,,2850,446,189,1
,,,2850,452,181,1
,,,2850,384,172,1
,,,2850,439,180,1
,,,2850,449,260,0
,,,2850,443,2,0
,,,2850,275,4,0
,,,2850,156,162,0
,,,2850,482,406,0
,,,2850,354,291,0
,,,2850,267,509,0
,,,2850,312,10,0
,,,2850,516,163,0
,,,2850,61,182,0
,,,2850,631,341,0
,,,2850,75,141,0
,,,2910,356,97,1
,,,2910,401,77,1
,,,2910,457,118,1
,,,2910,378,94,1
,,,2910,429,97,1
,,,2910,464,90,1
,,,2910,409,90,1
,,,2910,401,76,1
,,,2910,401,65,1
,,,2910,442,125,1
,,,2910,402,100,1
,,,2910,325,86,1
,,,2910,704,125,0
,,,2910,593,131,0
,,,2910,587,108,0
,,,2910,529,257,0
,,,2910,476,18,0
,,,2910,670,82,0
,,,2910,589,97,0
,,,2910,436,395,0
,,,2910,210,326,0
,,,2910,629,190,0
,,,2910,687,363,0
,,,2910,324,520,0
,,,2925,429,65,1
,,,2925,334,110,1
,,,2925,442,72,1
,,,2925,346,104,1
,,,2925,299,80,1
,,,2925,253,167,1
,,,2925,354,65,1
,,,2925,310,116,1
,,,2925,278,112,1
,,,2925,278,89,1
,,,2925,272,153,1
,,,2925,291,112,1
,,,2925,66,455,0
,,,2925,593,238,0
,,,2925,691,42,0
,,,2925,34,249,0
,,,2925,203,379,0
,,,2925,417,567,0
,,,2925,603,152,0
,,,2925,716,148,0
,,,2925,468,254,0
,,,2925,305,389,0
,,,2925,112,236,0
,,,2925,26,342,0
,,,3000,508,118,1
,,,3000,176,415,1
,,,3000,222,98,1
,,,3000,239,179,1
,,,3000,386,383,1
,,,3000,68,141,1
,,,3000,271,86,1
,,,3000,404,340,1
,,,3000,438,147,1
,,,3000,311,133,1
,,,3000,207,36,1
,,,3000,70,279,1
,,,3000,740,129,0
,,,3000,349,535,0
,,,3000,560,267,0
,,,3000,585,375,0
,,,3000,499,498,0
,,,3000,591,532,0
,,,3000,570,441,0
,,,3000,580,438,0
,,,3000,161,468,0
,,,3000,690,157,0
,,,3000,604,161,0
,,,3000,726,26,0
