Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,2675,3170,2900,221,210,1
,,,2900,192,305,1
,,,2900,174,286,1
,,,2900,197,371,1
,,,2900,233,239,1
,,,2900,196,342,1
,,,2900,178,276,1
,,,2900,177,351,1
,,,2900,201,231,1
,,,2900,169,301,1
,,,2900,179,322,1
,,,2900,202,387,1
,,,2900,56,84,0
,,,2900,240,347,0
,,,2900,271,551,0
,,,2900,401,422,0
,,,2900,335,311,0
,,,2900,632,240,0
,,,2900,506,443,0
,,,2900,557,260,0
,,,2900,309,78,0
,,,2900,323,6,0
,,,2900,509,280,0
,,,2900,367,520,0
,,,2915,104,182,1
,,,2915,51,274,1
,,,2915,133,187,1
,,,2915,130,167,1
,,,2915,114,250,1
,,,2915,71,288,1
,,,2915,68,237,1
,,,2915,86,276,1
,,,2915,123,168,1
,,,2915,124,404,1
,,,2915,66,385,1
,,,2915,123,274,1
,,,2915,357,256,0
,,,2915,528,153,0
,,,2915,660,20,0
,,,2915,38,426,0
,,,2915,685,20,0
,,,2915,537,457,0
,,,2915,465,453,0
,,,2915,55,98,0
,,,2915,277,176,0
,,,2915,717,217,0
,,,2915,430,17,0
,,,2915,513,116,0
,,,2990,59,483,1
,,,2990,266,403,1
,,,2990,75,357,1
,,,2990,272,425,1
,,,2990,284,284,1
,,,2990,487,372,1
,,,2990,85,386,1
,,,2990,360,321,1
,,,2990,436,286,1
,,,2990,351,495,1
,,,2990,196,434,1
,,,2990,240,348,1
,,,2990,458,97,0
,,,2990,581,300,0
,,,2990,538,201,0
,,,2990,561,484,0
,,,2990,610,175,0
,,,2990,309,194,0
,,,2990,526,35,0
,,,2990,591,240,0
,,,2990,637,366,0
,,,2990,222,90,0
,,,2990,403,84,0
,,,2990,516,114,0
,,,3155,197,244,1
,,,3155,237,394,1
,,,3155,264,230,1
,,,3155,165,294,1
,,,3155,215,216,1
,,,3155,254,251,1
,,,3155,207,280,1
,,,3155,194,324,1
,,,3155,243,345,1
,,,3155,258,189,1
,,,3155,187,372,1
,,,3155,216,412,1
,,,3155,145,219,0
,,,3155,43,423,0
,,,3155,394,189,0
,,,3155,518,247,0
,,,3155,433,224,0
,,,3155,167,450,0
,,,3155,57,431,0
,,,3155,606,452,0
,,,3155,272,539,0
,,,3155,131,516,0
,,,3155,334,172,0
,,,3155,391,218,0
,,,3170,219,343,1
,,,3170,195,389,1
,,,3170,196,267,1
,,,3170,163,357,1
,,,3170,246,202,1
,,,3170,202,381,1
,,,3170,230,199,1
,,,3170,190,321,1
,,,3170,199,387,1
,,,3170,250,279,1
,,,3170,197,407,1
,,,3170,194,331,1
,,,3170,501,247,0
,,,3170,306,296,0
,,,3170,657,51,0
,,,3170,306,376,0
,,,3170,670,354,0
,,,3170,716,289,0
,,,3170,713,500,0
,,,3170,144,17,0
,,,3170,333,24,0
,,,3170,414,185,0
,,,3170,597,160,0
,,,3170,96,44,0
