Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3350,3845,3650,649,49,1
,,,3650,653,178,1
,,,3650,673,153,1
,,,3650,645,273,1
,,,3650,601,256,1
,,,3650,569,245,1
,,,3650,673,218,1
,,,3650,564,103,1
,,,3650,647,60,1
,,,3650,583,164,1
,,,3650,576,126,1
,,,3650,618,247,1
,,,3650,496,21,0
,,,3650,319,86,0
,,,3650,355,451,0
,,,3650,683,345,0
,,,3650,108,574,0
,,,3650,317,388,0
,,,3650,534,282,0
,,,3650,293,459,0
,,,3650,1,419,0
,,,3650,439,423,0
,,,3650,278,243,0
,,,3650,47,8,0
,,,3680,670,190,1
,,,3680,762,216,1
,,,3680,656,123,1
,,,3680,716,208,1
,,,3680,756,8,1
,,,3680,671,261,1
,,,3680,678,233,1
,,,3680,744,91,1
,,,3680,704,17,1
,,,3680,746,62,1
,,,3680,690,287,1
,,,3680,650,198,1
,,,3680,47,261,0
,,,3680,393,360,0
,,,3680,209,356,0
,,,3680,69,422,0
,,,3680,281,126,0
,,,3680,178,232,0
,,,3680,153,306,0
,,,3680,115,371,0
,,,3680,420,274,0
,,,3680,279,73,0
,,,3680,692,533,0
,,,3680,598,109,0
,,,3695,59,238,1
,,,3695,204,92,1
,,,3695,238,414,1
,,,3695,16,159,1
,,,3695,83,261,1
,,,3695,363,93,1
,,,3695,114,376,1
,,,3695,308,27,1
,,,3695,298,367,1
,,,3695,184,246,1
,,,3695,93,79,1
,,,3695,15,148,1
,,,3695,600,81,0
,,,3695,481,431,0
,,,3695,36,370,0
,,,3695,83,545,0
,,,3695,688,26,0
,,,3695,449,175,0
,,,3695,49,55,0
,,,3695,714,301,0
,,,3695,358,32,0
,,,3695,443,22,0
,,,3695,661,224,0
,,,3695,580,469,0
,,,3755,3,222,1
,,,3755,33,359,1
,,,3755,48,291,1
,,,3755,71,261,1
,,,3755,90,205,1
,,,3755,29,316,1
,,,3755,5,300,1
,,,3755,48,334,1
,,,3755,30,40,1
,,,3755,12,159,1
,,,3755,19,189,1
,,,3755,56,212,1
,,,3755,372,193,0
,,,3755,219,273,0
,,,3755,758,311,0
,,,3755,662,9,0
,,,3755,510,328,0
,,,3755,87,34,0
,,,3755,573,66,0
,,,3755,747,246,0
,,,3755,163,95,0
,,,3755,534,85,0
,,,3755,37,475,0
,,,3755,400,191,0
,,,3830,651,221,1
,,,3830,431,65,1
,,,3830,292,192,1
,,,3830,742,179,1
,,,3830,572,69,1
,,,3830,646,35,1
,,,3830,533,173,1
,,,3830,482,296,1
,,,3830,614,333,1
,,,3830,326,108,1
,,,3830,583,138,1
,,,3830,361,304,1
,,,3830,612,450,0
,,,3830,146,541,0
,,,3830,312,398,0
,,,3830,162,522,0
,,,3830,600,377,0
,,,3830,198,456,0
,,,3830,637,551,0
,,,3830,524,404,0
,,,3830,544,535,0
,,,3830,294,370,0
,,,3830,130,301,0
,,,3830,281,475,0
