Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,1670,1830,1680,389,208,1
,,,1680,318,214,1
,,,1680,313,217,1
,,,1680,312,200,1
,,,1680,392,316,1
,,,1680,372,343,1
,,,1680,391,428,0
,,,1680,569,324,0
,,,1680,231,129,0
,,,1690,310,202,1
,,,1690,148,64,1
,,,1690,584,186,0
,,,1690,515,388,0
,,,1720,285,385,1
,,,1720,366,320,1
,,,1720,456,83,1
,,,1720,496,462,1
,,,1720,707,157,0
,,,1750,292,202,1
,,,1750,72,154,1
,,,1760,315,206,1
,,,1760,355,193,1
,,,1760,368,261,1
,,,1760,371,307,1
,,,1760,380,349,1
,,,1760,426,419,0
,,,1760,560,264,0
,,,1760,230,93,0
,,,1760,244,265,0
,,,1760,310,219,1
,,,1780,363,346,1
,,,1780,284,188,1
,,,1780,224,160,1
,,,1780,482,502,1
