Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3785,4145,3785,574,455,0
,,,3785,417,148,0
,,,3785,179,86,0
,,,3785,148,368,0
,,,3785,331,429,0
,,,3785,258,209,1
,,,3795,281,195,1
,,,3795,420,328,0
,,,3795,410,19,0
,,,3795,93,128,0
,,,3835,575,287,1
,,,3835,658,157,1
,,,3835,673,89,1
,,,3835,623,62,1
,,,3835,722,81,1
,,,3835,729,289,1
,,,3835,747,379,1
,,,3835,212,460,0
,,,3835,22,267,0
,,,3885,627,216,1
,,,3885,455,464,1
,,,3885,679,100,1
,,,3885,300,49,0
,,,3885,128,297,0
,,,3915,326,244,1
,,,3915,346,442,1
,,,3915,258,74,1
,,,3915,648,158,0
,,,3915,696,333,0
,,,4105,250,257,0
,,,4105,481,338,0
,,,4105,547,536,0
,,,4105,268,102,1
,,,4105,347,132,0
