Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3475,3970,3835,425,178,1
,,,3835,458,175,1
,,,3835,447,213,1
,,,3835,446,180,1
,,,3835,379,142,1
,,,3835,393,151,1
,,,3835,467,193,1
,,,3835,476,201,1
,,,3835,419,191,1
,,,3835,378,154,1
,,,3835,413,168,1
,,,3835,458,190,1
,,,3835,459,137,0
,,,3835,182,246,0
,,,3835,208,135,0
,,,3835,346,286,0
,,,3835,324,297,0
,,,3835,110,11,0
,,,3835,393,190,0
,,,3835,549,20,0
,,,3835,197,54,0
,,,3835,5,42,0
,,,3835,331,449,0
,,,3835,438,250,0
,,,3865,492,202,1
,,,3865,474,168,1
,,,3865,399,115,1
,,,3865,467,187,1
,,,3865,386,107,1
,,,3865,458,148,1
,,,3865,361,123,1
,,,3865,459,166,1
,,,3865,477,153,1
,,,3865,448,148,1
,,,3865,387,106,1
,,,3865,429,139,1
,,,3865,489,285,0
,,,3865,352,563,0
,,,3865,526,135,0
,,,3865,597,257,0
,,,3865,596,385,0
,,,3865,278,445,0
,,,3865,427,223,0
,,,3865,110,5,0
,,,3865,271,368,0
,,,3865,716,563,0
,,,3865,666,228,0
,,,3865,642,433,0
,,,3880,469,205,1
,,,3880,417,117,1
,,,3880,442,108,1
,,,3880,511,221,1
,,,3880,444,96,1
,,,3880,460,185,1
,,,3880,483,110,1
,,,3880,518,217,1
,,,3880,457,93,1
,,,3880,508,215,1
,,,3880,533,299,1
,,,3880,516,151,1
,,,3880,637,252,0
,,,3880,237,149,0
,,,3880,582,33,0
,,,3880,157,441,0
,,,3880,630,2,0
,,,3880,718,146,0
,,,3880,471,485,0
,,,3880,379,349,0
,,,3880,541,114,0
,,,3880,276,32,0
,,,3880,633,512,0
,,,3880,603,348,0
,,,3910,452,81,1
,,,3910,506,49,1
,,,3910,522,164,1
,,,3910,466,9,1
,,,3910,508,202,1
,,,3910,584,229,1
,,,3910,611,247,1
,,,3910,619,232,1
,,,3910,510,112,1
,,,3910,509,162,1
,,,3910,610,177,1
,,,3910,572,261,1
,,,3910,503,479,0
,,,3910,719,508,0
,,,3910,215,65,0
,,,3910,26,261,0
,,,3910,504,337,0
,,,3910,500,311,0
,,,3910,717,86,0
,,,3910,219,413,0
,,,3910,411,2,0
,,,3910,689,338,0
,,,3910,513,554,0
,,,3910,65,412,0
,,,3970,111,446,1
,,,3970,339,407,1
,,,3970,446,103,1
,,,3970,374,324,1
,,,3970,297,223,1
,,,3970,235,220,1
,,,3970,247,451,1
,,,3970,488,159,1
,,,3970,190,380,1
,,,3970,235,200,1
,,,3970,362,341,1
,,,3970,297,169,1
,,,3970,696,152,0
,,,3970,540,505,0
,,,3970,121,164,0
,,,3970,222,80,0
,,,3970,232,509,0
,,,3970,391,33,0
,,,3970,523,81,0
,,,3970,436,476,0
,,,3970,9,267,0
,,,3970,131,520,0
,,,3970,542,514,0
,,,3970,711,238,0
