Damage Type,Start Frame,End Frame,Point in Frame,X Coordinates,Y Coordinates,Point Label
BCAAA,3125,3620,3155,427,237,1
,,,3155,454,271,1
,,,3155,459,284,1
,,,3155,444,279,1
,,,3155,431,237,1
,,,3155,446,233,1
,,,3155,425,232,1
,,,3155,448,289,1
,,,3155,431,235,1
,,,3155,450,242,1
,,,3155,449,298,1
,,,3155,454,243,1
,,,3155,509,196,0
,,,3155,190,119,0
,,,3155,325,326,0
,,,3155,143,482,0
,,,3155,326,314,0
,,,3155,335,119,0
,,,3155,306,555,0
,,,3155,160,545,0
,,,3155,31,270,0
,,,3155,273,323,0
,,,3155,165,68,0
,,,3155,513,573,0
,,,3185,451,234,1
,,,3185,437,216,1
,,,3185,427,219,1
,,,3185,444,283,1
,,,3185,464,268,1
,,,3185,457,286,1
,,,3185,454,264,1
,,,3185,449,270,1
,,,3185,446,223,1
,,,3185,465,277,1
,,,3185,451,251,1
,,,3185,436,221,1
,,,3185,479,313,0
,,,3185,105,352,0
,,,3185,112,462,0
,,,3185,313,344,0
,,,3185,697,465,0
,,,3185,299,449,0
,,,3185,283,438,0
,,,3185,666,542,0
,,,3185,267,314,0
,,,3185,45,374,0
,,,3185,416,485,0
,,,3185,285,152,0
,,,3245,488,285,1
,,,3245,484,258,1
,,,3245,485,182,1
,,,3245,503,251,1
,,,3245,481,182,1
,,,3245,467,195,1
,,,3245,488,216,1
,,,3245,469,212,1
,,,3245,484,201,1
,,,3245,486,242,1
,,,3245,492,290,1
,,,3245,488,216,1
,,,3245,689,396,0
,,,3245,128,12,0
,,,3245,418,118,0
,,,3245,140,162,0
,,,3245,94,262,0
,,,3245,275,575,0
,,,3245,342,145,0
,,,3245,166,459,0
,,,3245,701,304,0
,,,3245,286,156,0
,,,3245,190,159,0
,,,3245,158,266,0
,,,3575,75,237,1
,,,3575,56,228,1
,,,3575,468,380,1
,,,3575,306,328,1
,,,3575,76,444,1
,,,3575,366,542,1
,,,3575,612,266,1
,,,3575,673,350,1
,,,3575,287,209,1
,,,3575,196,19,1
,,,3575,453,16,1
,,,3575,561,199,1
,,,3575,57,572,0
,,,3575,710,280,0
,,,3575,51,538,0
,,,3575,718,528,0
,,,3575,693,520,0
,,,3575,5,211,0
,,,3575,621,558,0
,,,3575,460,0,0
,,,3575,655,507,0
,,,3575,670,443,0
,,,3575,710,172,0
,,,3575,73,558,0
,,,3590,330,390,1
,,,3590,344,163,1
,,,3590,679,315,1
,,,3590,323,544,1
,,,3590,17,224,1
,,,3590,262,427,1
,,,3590,487,538,1
,,,3590,117,148,1
,,,3590,193,178,1
,,,3590,153,418,1
,,,3590,75,63,1
,,,3590,165,226,1
,,,3590,680,403,0
,,,3590,122,554,0
,,,3590,657,437,0
,,,3590,103,505,0
,,,3590,649,489,0
,,,3590,196,545,0
,,,3590,152,572,0
,,,3590,667,541,0
,,,3590,100,393,0
,,,3590,68,547,0
,,,3590,712,531,0
,,,3590,646,539,0
,,,3605,692,63,1
,,,3605,191,259,1
,,,3605,525,501,1
,,,3605,311,179,1
,,,3605,501,294,1
,,,3605,133,409,1
,,,3605,291,552,1
,,,3605,465,505,1
,,,3605,488,159,1
,,,3605,676,166,1
,,,3605,454,162,1
,,,3605,547,181,1
,,,3605,575,0,0
,,,3605,703,406,0
,,,3605,44,467,0
,,,3605,720,102,0
,,,3605,63,449,0
,,,3605,27,430,0
,,,3605,710,172,0
,,,3605,651,549,0
,,,3605,70,559,0
,,,3605,707,286,0
,,,3605,708,236,0
,,,3605,653,529,0
